場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
札幌,1,1,フェアーメロディ,,,-3204.0,9.0,-321.0,8.0,,
札幌,1,2,ミサビスケッツ,8072.0,3.0,-9238.0,10.0,-17871.0,14.0,-19.037,11.0
札幌,1,3,メイショウハマギク,-3679.0,10.0,-10058.0,11.0,-229.0,7.0,-13.966,9.0
札幌,1,4,ユージュアーナ,2026.0,8.0,13497.0,3.0,4403.0,3.0,19.926,2.0
札幌,1,5,モアサナイト,2937.0,7.0,-11976.0,13.0,2278.0,5.0,-6.761,7.0
札幌,1,6,スタードメイソン,,,1528.0,5.0,-2492.0,10.0,,
札幌,1,7,ウインフルゴラ,6863.0,4.0,19222.0,1.0,-2695.0,11.0,23.39,1.0
札幌,1,8,サンダーフレア,-1392.0,9.0,15265.0,2.0,-1939.0,9.0,11.934,5.0
札幌,1,9,オルミラベル,9413.0,2.0,-1469.0,8.0,4170.0,4.0,12.114,4.0
札幌,1,10,タヤスソーレ,-8773.0,11.0,-1434.0,7.0,-7736.0,13.0,-17.943,10.0
札幌,1,11,スマートイザナミ,12505.0,1.0,5141.0,4.0,1593.0,6.0,19.239,3.0
札幌,1,12,セレーネアステール,,,-1068.0,6.0,5857.0,2.0,,
札幌,1,13,ハローエンジェル,4689.0,5.0,-10708.0,12.0,10467.0,1.0,4.448,6.0
札幌,1,14,アラマンダ,3626.0,6.0,-11976.0,13.0,-4559.0,12.0,-12.909,8.0
札幌,2,1,コルネイユドール,,,-3148.0,8.0,12043.0,1.0,,
札幌,2,2,スイッチビスケット,,,-9115.0,12.0,4762.0,4.0,,
札幌,2,3,シーオン,-5515.0,11.0,-9370.0,13.0,2183.0,9.0,-12.702,12.0
札幌,2,4,エクラドネージュ,2142.0,6.0,3690.0,4.0,5123.0,3.0,10.955,5.0
札幌,2,5,ロードステイタス,-2698.0,10.0,-5077.0,9.0,3070.0,6.0,-4.705,9.0
札幌,2,6,ベルシャイニー,-7374.0,12.0,-496.0,7.0,-1754.0,12.0,-9.624,10.0
札幌,2,7,ウィンビュー,5840.0,3.0,4594.0,3.0,1656.0,11.0,12.09,2.0
札幌,2,8,ハーフェン,9085.0,1.0,5340.0,2.0,-2810.0,14.0,11.615,4.0
札幌,2,9,ウインボニータ,4694.0,4.0,9784.0,1.0,2183.0,9.0,16.661,1.0
札幌,2,10,ユキノエミリオ,4117.0,5.0,-9887.0,14.0,2989.0,7.0,-2.781,7.0
札幌,2,11,キャナルクルーズ,-2558.0,9.0,-5077.0,9.0,-2025.0,13.0,-9.66,11.0
札幌,2,12,ダークメモリー,41.0,7.0,1840.0,6.0,7290.0,2.0,9.171,6.0
札幌,2,13,スピリットサージ,6809.0,2.0,2275.0,5.0,2866.0,8.0,11.95,3.0
札幌,2,14,ピースフルゴールド,-2527.0,8.0,-5077.0,9.0,4015.0,5.0,-3.589,8.0
札幌,3,1,ニコ,-5356.0,12.0,1952.0,6.0,1458.0,7.0,-1.946,8.0
札幌,3,2,セイスイミリオン,-2073.0,10.0,-1385.0,10.0,-6966.0,13.0,-10.424,10.0
札幌,3,3,カフェブーケット,1618.0,7.0,3202.0,4.0,,,,
札幌,3,4,ロングロングロング,3626.0,4.0,5141.0,3.0,3526.0,3.0,12.293,3.0
札幌,3,5,ブラックレーション,384.0,8.0,-1679.0,11.0,-5952.0,12.0,-7.247,9.0
札幌,3,6,マークオブゾロ,2231.0,5.0,,,-5700.0,11.0,,
札幌,3,7,サザンブラック,-7196.0,13.0,2123.0,5.0,4766.0,1.0,-0.307,6.0
札幌,3,8,アルテボーイ,2026.0,6.0,27.0,7.0,1506.0,6.0,3.559,5.0
札幌,3,9,ボールドハーテッド,,,7138.0,1.0,-347.0,9.0,,
札幌,3,10,タイキフィアリーベ,-1321.0,9.0,-852.0,8.0,1730.0,5.0,-0.443,7.0
札幌,3,11,オンクラウドナイン,9413.0,2.0,6188.0,2.0,4548.0,2.0,20.149,1.0
