場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
京都,7,13,ルクスメンデス,2182.0,9.0,3384.0,8.0,-5071.0,12.0,0.495,12.0
京都,7,14,トモジャザーン,10118.0,2.0,9273.0,5.0,7021.0,2.0,26.412,2.0
京都,7,15,リュクスドレフォン,4325.0,8.0,17823.0,1.0,-7844.0,16.0,14.304,5.0
京都,7,16,ロカヒ,5114.0,7.0,14201.0,3.0,-3984.0,11.0,15.331,4.0
京都,8,1,サクソンジェンヌ,5042.0,2.0,665.0,4.0,-452.0,6.0,5.255,3.0
京都,8,2,ジャルディニエ,,,2032.0,2.0,5691.0,3.0,,
京都,8,3,ヴォワラクテ,5300.0,1.0,-4292.0,6.0,8020.0,1.0,9.028,1.0
京都,8,4,エアニゲラ,-356.0,4.0,-12559.0,7.0,2655.0,4.0,-10.26,5.0
京都,8,5,ステラクラウン,2315.0,3.0,-3119.0,5.0,7905.0,2.0,7.101,2.0
京都,8,6,キーパフォーマー,-906.0,5.0,5524.0,1.0,-451.0,5.0,4.167,4.0
京都,8,7,ハミング,,,1067.0,3.0,-3739.0,7.0,,
京都,9,1,ザウリ,1332.0,9.0,-3566.0,12.0,6976.0,2.0,4.742,6.0
京都,9,2,フェリ,6141.0,3.0,4117.0,4.0,2226.0,8.0,12.484,3.0
京都,9,3,エルサトアナ,-3369.0,13.0,6330.0,3.0,-2670.0,13.0,0.291,11.0
京都,9,4,スペシャルナンバー,8732.0,2.0,-2327.0,11.0,-2774.0,14.0,3.631,7.0
京都,9,5,ズバットマサムネ,6030.0,5.0,-2289.0,10.0,7451.0,1.0,11.192,4.0
京都,9,6,キングクー,1263.0,10.0,-4542.0,13.0,732.0,11.0,-2.547,13.0
京都,9,7,イリフィ,-2730.0,12.0,1316.0,6.0,3487.0,5.0,2.073,8.0
京都,9,8,エンプレスペイ,3587.0,7.0,17778.0,1.0,1846.0,10.0,23.211,1.0
京都,9,9,ハリウッドブルース,9860.0,1.0,6786.0,2.0,4439.0,4.0,21.085,2.0
京都,9,10,フレイミングパイ,-1727.0,11.0,-485.0,8.0,3325.0,6.0,1.113,9.0
京都,9,11,ビッグドリーム,,,-6197.0,14.0,5209.0,3.0,,
京都,9,12,ハピアーザンエバー,4797.0,6.0,-725.0,9.0,2048.0,9.0,6.12,5.0
京都,9,13,ジェネラーレ,2600.0,8.0,,,-1451.0,12.0,,
京都,9,14,アスクキングコング,6096.0,4.0,-375.0,7.0,-5746.0,15.0,-0.025,12.0
京都,9,15,ヨシノヤッタルデー,-4592.0,14.0,1933.0,5.0,3325.0,6.0,0.666,10.0
京都,10,1,ドクタードリトル,1776.0,7.0,-44.0,7.0,-6805.0,15.0,-5.073,11.0
京都,10,2,コスモブッドレア,-2140.0,13.0,4538.0,5.0,3996.0,3.0,6.394,5.0
京都,10,3,ブレイヴロッカー,4110.0,3.0,-10795.0,14.0,-4342.0,13.0,-11.027,13.0
京都,10,4,レッドバリエンテ,6093.0,2.0,-2503.0,10.0,-3945.0,12.0,-0.355,9.0
京都,10,5,ウインエーデル,339.0,11.0,-1291.0,8.0,-1408.0,10.0,-2.36,10.0
京都,10,6,リビアングラス,3311.0,5.0,16577.0,1.0,945.0,7.0,20.833,2.0
京都,10,7,バレエマスター,11469.0,1.0,-1452.0,9.0,-5058.0,14.0,4.959,6.0
京都,10,8,エープラス,545.0,10.0,16523.0,2.0,4386.0,2.0,21.454,1.0
京都,10,9,シェイクユアハート,2832.0,6.0,-14123.0,15.0,-10.0,8.0,-11.301,14.0
京都,10,10,マイネルメモリー,-424.0,12.0,1605.0,6.0,-166.0,9.0,1.015,8.0
京都,10,11,ケンシレインボー,,,,,,,,
京都,10,12,スパイダーゴールド,4013.0,4.0,-4220.0,12.0,2637.0,4.0,2.43,7.0
京都,10,13,シュバルツクーゲル,1249.0,8.0,15495.0,3.0,1360.0,5.0,18.104,3.0
京都,10,14,アイスグリーン,,,-4317.0,13.0,4576.0,1.0,,
京都,10,15,マイネルケレリウス,-4064.0,14.0,-2799.0,11.0,-2241.0,11.0,-9.104,12.0
京都,10,16,ウエストナウ,1240.0,9.0,15441.0,4.0,1123.0,6.0,17.804,4.0
京都,11,1,エイシンディード,2311.0,4.0,285.0,4.0,-1710.0,7.0,0.886,5.0
京都,11,2,マイケルバローズ,5002.0,1.0,-6363.0,8.0,3893.0,3.0,2.532,4.0
京都,11,3,ガリレア,2906.0,3.0,7787.0,1.0,4042.0,2.0,14.735,1.0
京都,11,4,アイガーリー,-4581.0,7.0,7787.0,1.0,,,,
京都,11,5,キャンディード,1310.0,6.0,-34.0,5.0,-1021.0,5.0,0.255,6.0
京都,11,6,アドマイヤクワッズ,4913.0,2.0,7230.0,3.0,-1449.0,6.0,10.694,2.0
京都,11,7,カヴァレリッツォ,,,-1250.0,6.0,2228.0,4.0,,
京都,11,8,グッドピース,1950.0,5.0,-1483.0,7.0,5541.0,1.0,6.008,3.0
京都,12,1,ロールザダイス,8100.0,2.0,-23442.0,18.0,-3043.0,14.0,-18.385,14.0
京都,12,2,ロケベンドラ,2054.0,11.0,10184.0,3.0,3183.0,7.0,15.421,3.0
京都,12,3,サンウリエル,2643.0,10.0,1372.0,8.0,1722.0,8.0,5.737,8.0
京都,12,4,プレミアシップ,,,80.0,9.0,4655.0,3.0,,
京都,12,5,サリュエ,3919.0,8.0,3258.0,6.0,-1769.0,12.0,5.408,9.0
京都,12,6,リオンプライム,-5726.0,16.0,-3737.0,15.0,-931.0,11.0,-10.394,12.0
京都,12,7,カウンティフェア,9657.0,1.0,-771.0,10.0,4201.0,4.0,13.087,4.0
京都,12,8,ウインラウダ,4048.0,6.0,-794.0,11.0,-4273.0,16.0,-1.019,11.0
京都,12,9,ミッキースターダム,6314.0,4.0,-21845.0,17.0,,,,
京都,12,10,ジーティードレス,5737.0,5.0,-980.0,12.0,3547.0,6.0,8.304,7.0
京都,12,11,マルクパージュ,2945.0,9.0,-1528.0,13.0,,,,
京都,12,12,テイクイットオール,-1378.0,14.0,13504.0,1.0,5235.0,2.0,17.361,2.0
京都,12,13,マーシーラン,3939.0,7.0,-2790.0,14.0,1671.0,9.0,2.82,10.0
京都,12,14,レーンアジリティ,289.0,12.0,8222.0,4.0,3592.0,5.0,12.103,5.0
京都,12,15,ムーンライトラガー,6955.0,3.0,4877.0,5.0,-2197.0,13.0,9.635,6.0
京都,12,16,エボルヴィング,-28.0,13.0,-11041.0,16.0,-3630.0,15.0,-14.699,13.0
京都,12,17,ダークブロンド,,,2509.0,7.0,187.0,10.0,,
京都,12,18,コスモグローリー,-1430.0,15.0,13504.0,1.0,9266.0,1.0,21.34,1.0
