場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
中山,1,1,ジャストビコーズ,-5560.0,9.0,,,5314.0,2.0,,
中山,1,2,パレスノハレブタイ,-61.0,5.0,-1912.0,2.0,-2291.0,4.0,-4.264,2.0
中山,1,3,ラスエル,-7327.0,10.0,,,-3886.0,8.0,,
中山,1,4,スピネルテソーロ,2624.0,2.0,-2325.0,3.0,-5457.0,10.0,-5.158,3.0
中山,1,5,リワードシュテルン,,,-7665.0,6.0,-19751.0,11.0,,
中山,1,6,フライスカイハイ,-1347.0,6.0,-9076.0,7.0,-4973.0,9.0,-15.396,6.0
中山,1,7,ドナソール,59.0,4.0,,,63.0,3.0,,
中山,1,8,スーパーガール,5919.0,1.0,12785.0,1.0,-2634.0,5.0,16.07,1.0
中山,1,9,ニシノグラシアス,705.0,3.0,-4992.0,5.0,-3617.0,6.0,-7.904,4.0
中山,1,10,カシノサルパーレ,-2359.0,7.0,-2463.0,4.0,-3818.0,7.0,-8.64,5.0
中山,1,11,デールエルバハリ,-4392.0,8.0,,,7435.0,1.0,,
中山,2,1,マーゴットブロー,279.0,5.0,364.0,5.0,-9489.0,10.0,-8.846,9.0
中山,2,2,ロット,699.0,4.0,4192.0,3.0,-4867.0,7.0,0.024,3.0
中山,2,3,テンユウ,3072.0,3.0,-1674.0,9.0,-1882.0,5.0,-0.484,4.0
中山,2,4,シシリアンフラッグ,-2868.0,7.0,-1643.0,8.0,-2887.0,6.0,-7.398,8.0
中山,2,5,シャオママル,7334.0,1.0,-13840.0,11.0,312.0,4.0,-6.194,6.0
中山,2,6,チェリーブルーム,-10096.0,10.0,-389.0,6.0,-11481.0,11.0,-21.966,11.0
中山,2,7,シャインフォーミー,6689.0,2.0,1009.0,4.0,-4874.0,8.0,2.824,2.0
中山,2,8,マルターズドン,-1236.0,6.0,5313.0,1.0,4993.0,1.0,9.07,1.0
中山,2,9,ミスターマーボー,-10713.0,11.0,-8109.0,10.0,2068.0,3.0,-16.754,10.0
中山,2,10,ニシノシャルム,-5627.0,9.0,4493.0,2.0,-5246.0,9.0,-6.38,7.0
中山,2,11,フィーユレアル,-4027.0,8.0,-1032.0,7.0,2661.0,2.0,-2.398,5.0
中山,3,1,トルティーナ,-8643.0,14.0,26072.0,2.0,211.0,7.0,17.64,2.0
中山,3,2,キャンディブーケ,-2301.0,10.0,-8291.0,15.0,-1831.0,12.0,-12.423,14.0
中山,3,3,タッカーバリアント,-2604.0,11.0,17518.0,3.0,-641.0,10.0,14.273,3.0
中山,3,4,ダンケルド,-1576.0,9.0,2947.0,4.0,4753.0,1.0,6.124,4.0
中山,3,5,ミズイロホルトゥス,-8659.0,15.0,-358.0,7.0,3496.0,3.0,-5.521,11.0
中山,3,6,マロンカラノテガミ,1839.0,6.0,1760.0,6.0,1880.0,6.0,5.479,5.0
中山,3,7,シスター,12134.0,1.0,29131.0,1.0,-5473.0,14.0,35.792,1.0
中山,3,8,スイートロータス,-5782.0,13.0,-1440.0,8.0,-496.0,9.0,-7.718,13.0
