場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1800,良,1,シュヴァルノワール,3歳,北村宏司,嘉藤貴行,中距離,右回り,,スワーヴリチャード,,
中山,1,未勝利,ダート,1800,良,2,サンマルストロング,3歳,吉田豊,土田稔,中距離,右回り,,ストロングリターン,,距離延長
中山,1,未勝利,ダート,1800,良,3,アウフヴィント,3歳,武藤雅,戸田博文,中距離,右回り,,ドレフォン,,
中山,1,未勝利,ダート,1800,良,4,エピックサイクル,3歳,大野拓弥,新開幸一,中距離,右回り,,マインドユアビスケッツ,,
中山,1,未勝利,ダート,1800,良,5,モーニングマジック,3歳,三浦皇成,武藤善則,中距離,右回り,,マインドユアビスケッツ,,
中山,1,未勝利,ダート,1800,良,6,マオノギミック,3歳,上里直汰,加藤士津,中距離,右回り,,ゴールドドリーム,,距離延長
中山,1,未勝利,ダート,1800,良,7,マイネルジーニアス,3歳,野中悠太,高木登,中距離,右回り,,シニスターミニスター,,距離短縮
中山,1,未勝利,ダート,1800,良,8,マーゴットビースト,3歳,菱田裕二,伊坂重信,中距離,右回り,,シニスターミニスター,,
中山,1,未勝利,ダート,1800,良,9,シウダーエヴィータ,3歳,舟山瑠泉,田中博康,中距離,右回り,,アドマイヤマーズ,,
中山,1,未勝利,ダート,1800,良,10,トウテイラン,3歳,丸田恭介,宗像義忠,中距離,右回り,,サトノクラウン,,距離延長
中山,1,未勝利,ダート,1800,良,11,ヨドノタイヨウ,3歳,小林凌大,小西一男,中距離,右回り,,ミッキーロケット,,距離延長
中山,1,未勝利,ダート,1800,良,12,ロードソルスティス,3歳,横山武史,斎藤誠,中距離,右回り,,サートゥルナーリア,,距離短縮
中山,1,未勝利,ダート,1800,良,13,キタノブレイク,3歳,長浜鴻緒,本間忍,中距離,右回り,,レインボーライン,,距離短縮
中山,1,未勝利,ダート,1800,良,14,スペースリーガ,3歳,内田博幸,森一誠,中距離,右回り,,カリフォルニアクローム,休明2走,距離短縮
中山,1,未勝利,ダート,1800,良,15,アクデニズ,3歳,江田照男,小笠倫弘,中距離,右回り,,ミッキースワロー,,
中山,2,未勝利,ダート,1200,良,1,デルマプルート,3歳,木幡巧也,天間昭一,短距離,右回り,,サートゥルナーリア,,
中山,2,未勝利,ダート,1200,良,2,ハナナラツボミ,3歳,上里直汰,加藤士津,短距離,右回り,,モーニン,,
中山,2,未勝利,ダート,1200,良,3,ファストパスキー,3歳,横山琉人,田中剛,短距離,右回り,,モーリス,,距離短縮
中山,2,未勝利,ダート,1200,良,4,サイモングリット,3歳,原優介,勢司和浩,短距離,右回り,,アルアイン,休明2走,距離短縮
中山,2,未勝利,ダート,1200,良,5,スリーローズマリー,3歳,谷原柚希,伊藤圭三,短距離,右回り,,サートゥルナーリア,,
中山,2,未勝利,ダート,1200,良,6,グルナルーフス,3歳,宮崎北斗,中川公成,短距離,右回り,,ブルドッグボス,,
中山,2,未勝利,ダート,1200,良,7,サマーツアー,3歳,嶋田純次,矢嶋大樹,短距離,右回り,,モーリス,,距離短縮
中山,2,未勝利,ダート,1200,良,8,ガンハンマー,3歳,川田将雅,加藤征弘,短距離,右回り,,リアルスティール,,
中山,2,未勝利,ダート,1200,良,9,ルシード,3歳,野中悠太,田島俊明,短距離,右回り,,スクリーンヒーロー,,距離短縮
中山,2,未勝利,ダート,1200,良,10,ライブリブランコ,3歳,佐藤翔馬,尾形和幸,短距離,右回り,,ケープブランコ,,
中山,2,未勝利,ダート,1200,良,11,アルフィオーレ,3歳,丸田恭介,宗像義忠,短距離,右回り,,マクフィ,,距離短縮
中山,2,未勝利,ダート,1200,良,12,アラスカフレイバー,3歳,戸崎圭太,松永康利,短距離,右回り,,リアルスティール,,距離短縮
中山,2,未勝利,ダート,1200,良,13,カービスベイ,3歳,江田照男,武藤善則,短距離,右回り,,タワーオブロンドン,休明2走,
中山,2,未勝利,ダート,1200,良,14,ファリードゥーン,3歳,菅原明良,高木登,短距離,右回り,,オーヴァルエース,,
中山,2,未勝利,ダート,1200,良,15,ミニョンマルーン,3歳,長浜鴻緒,伊藤圭三,短距離,右回り,,ミスターメロディ,,
中山,2,未勝利,ダート,1200,良,16,キャンディリボン,3歳,津村明秀,清水英克,短距離,右回り,,タワーオブロンドン,,
中山,3,未勝利,ダート,1800,良,1,トウショウクラウド,3歳,遠藤汰月,萱野浩二,中距離,右回り,,ゴールドシップ,休明3走,距離短縮
中山,3,未勝利,ダート,1800,良,2,グラスビジョン,3歳,木幡巧也,佐藤吉勝,中距離,右回り,,ノーブルミッション,,距離延長
中山,3,未勝利,ダート,1800,良,3,ホファヴァルト,3歳,木幡初也,武市康男,中距離,右回り,,エスケンデレヤ,休明3走,
中山,3,未勝利,ダート,1800,良,4,ヴィジブルライト,3歳,戸崎圭太,和田正一,中距離,右回り,,ヘニーヒューズ,,
中山,3,未勝利,ダート,1800,良,5,ノーブルシーズン,3歳,菱田裕二,久保田貴,中距離,右回り,,ハービンジャー,休明初戦,
中山,3,未勝利,ダート,1800,良,6,アイガー,3歳,武藤雅,武藤善則,中距離,右回り,,サンダースノー,,
中山,3,未勝利,ダート,1800,良,7,リリアンファスト,3歳,津村明秀,嘉藤貴行,中距離,右回り,,サトノクラウン,,距離延長
中山,3,未勝利,ダート,1800,良,8,タキノボリ,3歳,北村宏司,勢司和浩,中距離,右回り,,ルヴァンスレーヴ,休明初戦,距離延長
中山,3,未勝利,ダート,1800,良,9,ウラルト,3歳,長浜鴻緒,田中剛,中距離,右回り,,リアルインパクト,,
中山,3,未勝利,ダート,1800,良,10,ファイアーワークス,3歳,横山武史,加藤征弘,中距離,右回り,,ナダル,,
中山,3,未勝利,ダート,1800,良,11,ワカムシャ,3歳,原優介,矢野英一,中距離,右回り,,バゴ,,距離延長
中山,3,未勝利,ダート,1800,良,12,メイショウコウベ,3歳,大野拓弥,和田勇介,中距離,右回り,,サトノアラジン,休明初戦,
中山,3,未勝利,ダート,1800,良,13,ジャスマン,3歳,木幡育也,菊沢隆徳,中距離,右回り,,ゴールドシップ,休明初戦,距離延長
中山,3,未勝利,ダート,1800,良,14,アルディマジオ,3歳,江田照男,村田一誠,中距離,右回り,,ドゥラメンテ,,距離短縮
中山,3,未勝利,ダート,1800,良,15,ロジアヴァンセ,3歳,三浦皇成,新開幸一,中距離,右回り,,ロジユニヴァース,,
中山,3,未勝利,ダート,1800,良,16,フィールオーサム,3歳,菅原明良,岩戸孝樹,中距離,右回り,,ルヴァンスレーヴ,,距離延長
中山,4,自己条件,ダート,1800,良,1,エーリアル,4歳,杉原誠人,西田雄一,中距離,右回り,,リアルインパクト,,
中山,4,自己条件,ダート,1800,良,2,グランカンタンテ,4歳,菅原明良,鹿戸雄一,中距離,右回り,,リアルスティール,休明2走,距離延長
中山,4,自己条件,ダート,1800,良,3,セージグリーン,4歳,木幡巧也,菊川正達,中距離,右回り,,ディーマジェスティ,休明3走,
中山,4,自己条件,ダート,1800,良,4,マフィン,4歳,長浜鴻緒,大和田成,中距離,右回り,,ミッキーアイル,,
中山,4,自己条件,ダート,1800,良,5,アリーチェ,5歳以上,武藤雅,戸田博文,中距離,右回り,,ルーラーシップ,休明2走,距離延長
中山,4,自己条件,ダート,1800,良,6,イズジョーノヒカリ,4歳,木幡初也,本間忍,中距離,右回り,,ミッキーグローリー,,距離延長
中山,4,自己条件,ダート,1800,良,7,キタノチェロキー,5歳以上,原優介,粕谷昌央,中距離,右回り,,タリスマニック,休明初戦,距離延長
中山,4,自己条件,ダート,1800,良,8,オルソビアンコ,5歳以上,内田博幸,田村康仁,中距離,右回り,,ハービンジャー,休明初戦,距離延長
中山,4,自己条件,ダート,1800,良,9,キセキノエンジェル,5歳以上,吉田豊,石毛善彦,中距離,右回り,,キンシャサノキセキ,,距離延長
中山,4,自己条件,ダート,1800,良,10,スパークタイムリー,5歳以上,横山琉人,小島茂之,中距離,右回り,,ドゥラメンテ,,距離短縮
中山,4,自己条件,ダート,1800,良,11,ドゥムーラン,5歳以上,戸崎圭太,尾関知人,中距離,右回り,,サトノダイヤモンド,休明初戦,距離短縮
中山,4,自己条件,ダート,1800,良,12,プチブール,4歳,小林凌大,小西一男,中距離,右回り,,サトノクラウン,休明2走,距離延長
中山,4,自己条件,ダート,1800,良,13,モダンフリンジ,5歳以上,谷原柚希,伊藤圭三,中距離,右回り,,リオンディーズ,休明2走,距離延長
中山,5,未勝利,芝,2000,良,1,ジェノヴィーノ,3歳,大野拓弥,中舘英二,中距離,右回り,,サトノダイヤモンド,,
中山,5,未勝利,芝,2000,良,2,サンタアナウインド,3歳,北村宏司,古賀慎明,中距離,右回り,,レイデオロ,,
中山,5,未勝利,芝,2000,良,3,グッドレッスン,3歳,三浦皇成,大竹正博,中距離,右回り,,グレーターロンドン,,
中山,5,未勝利,芝,2000,良,4,ワーキングデライト,3歳,武藤雅,武藤善則,中距離,右回り,,オルフェーヴル,,距離延長
中山,5,未勝利,芝,2000,良,5,レガーロカリーノ,3歳,杉原誠人,菊沢隆徳,中距離,右回り,,レイデオロ,,距離延長
中山,5,未勝利,芝,2000,良,6,サルーポルティ,3歳,菅原明良,国枝栄,中距離,右回り,,モーリス,休明2走,距離延長
中山,5,未勝利,芝,2000,良,7,ヤマニンラリアンス,3歳,江田照男,村田一誠,中距離,右回り,,ゴールドシップ,,
中山,5,未勝利,芝,2000,良,8,ハッピーウィズユー,3歳,川田将雅,小笠倫弘,中距離,右回り,,キズナ,,距離延長
中山,5,未勝利,芝,2000,良,9,マカナ,3歳,田辺裕信,伊藤大士,中距離,右回り,,ゴールドシップ,,
中山,5,未勝利,芝,2000,良,10,テンダールック,3歳,ルメール,木村哲也,中距離,右回り,,ドゥラメンテ,,距離延長
中山,5,未勝利,芝,2000,良,11,ミライヘノハナ,3歳,横山武史,伊藤大士,中距離,右回り,,リアルスティール,休明3走,距離延長
中山,5,未勝利,芝,2000,良,12,トレベルフィーユ,3歳,長浜鴻緒,竹内正洋,中距離,右回り,,トーセンラー,,
