場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
函館,1,1,ミリオンヒット,アジアエクスプレス,102.0,96.0,113.0,97.0,103.0,106.0,102.0,,102.714,4.0
函館,1,2,ワタシマツワ,グレーターロンドン,54.0,114.0,117.0,113.0,117.0,119.0,,,105.667,3.0
函館,1,3,セゾンデフィーユ,ダイワメジャー,87.0,94.0,98.0,96.0,97.0,96.0,,,94.667,10.0
函館,1,4,ロネット,モーリス,96.0,100.0,99.0,99.0,97.0,98.0,,,98.167,8.0
函館,1,5,キムケンフォトン,レイデオロ,85.0,100.0,96.0,89.0,102.0,91.0,92.0,,93.571,11.0
函館,1,6,ハナヒラク,サングラス,,,,,,,,,,
函館,1,7,ハーフェン,オルフェーヴル,96.0,103.0,105.0,104.0,101.0,103.0,103.0,,102.143,5.0
函館,1,8,ドラマツルギー,カレンブラックヒル,99.0,102.0,96.0,92.0,105.0,102.0,,,99.333,7.0
函館,1,9,ゴールドサニーデイ,トーセンラー,115.0,91.0,98.0,96.0,106.0,99.0,,,100.833,6.0
函館,1,10,カルミネイション,ビッグアーサー,104.0,88.0,100.0,89.0,96.0,96.0,,,95.5,9.0
函館,1,11,ワンダーアンジェ,ディーマジェスティ,121.0,102.0,97.0,108.0,103.0,105.0,113.0,,107.0,2.0
函館,1,12,テーオーシュターデ,スクリーンヒーロー,121.0,105.0,109.0,115.0,107.0,106.0,110.0,,110.429,1.0
函館,1,13,リリーオブザハート,ブリックスアンドモルタル,39.0,98.0,104.0,103.0,100.0,97.0,,,90.167,13.0
函館,1,14,フューチャーファン,エピファネイア,94.0,96.0,97.0,94.0,92.0,93.0,88.0,,93.429,12.0
函館,2,1,ニッシンゲッポ,フォーウィールドライブ,21.0,117.0,116.0,133.0,113.0,,,,100.0,7.0
函館,2,2,カーヌスティ,ロードカナロア,103.0,98.0,100.0,97.0,102.0,96.0,112.0,,101.143,6.0
函館,2,3,メイショウルーチェ,ダノンレジェンド,112.0,102.0,116.0,110.0,111.0,114.0,113.0,,111.143,3.0
函館,2,4,エイシンパルサー,エイシンヒカリ,117.0,124.0,104.0,115.0,114.0,114.0,105.0,,113.286,1.0
函館,2,5,グルナルーフス,ブルドッグボス,,,,,,,,,,
