場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
東京,3,4,シンデレラダッシュ,宮田敬介,-334.0,18.0,-1011.0,-493.0,-628.0,-456.0,,,-2904.0,8.0
東京,3,5,フクノブルーレイク,竹内正洋,804.0,699.0,-323.0,524.0,-677.0,1566.0,,,2593.0,4.0
東京,3,6,ジュラ,小手川準,76.0,-892.0,-1135.0,-300.0,-700.0,-193.0,,,-3144.0,9.0
東京,3,7,ルールーリマ,大竹正博,159.0,1340.0,123.0,-26.0,-487.0,-83.0,,,1026.0,5.0
東京,3,8,ディーズゴールド,田村康仁,524.0,-789.0,-946.0,-90.0,-1480.0,576.0,,,-2205.0,7.0
東京,3,9,ショウナンバージ,稲垣幸雄,402.0,726.0,635.0,806.0,269.0,974.0,-119.0,,3693.0,1.0
東京,3,10,ピコシー,奥村武　,-145.0,-928.0,-382.0,-97.0,-1713.0,-557.0,,,-3822.0,10.0
東京,3,11,エポカリーナ,土田稔　,-1394.0,-2306.0,-422.0,-661.0,562.0,-1661.0,,,-5882.0,12.0
東京,3,12,カスバートテソーロ,畠山吉宏,-240.0,48.0,-303.0,-88.0,439.0,485.0,,,341.0,6.0
東京,4,1,ルシード,田島俊明,482.0,-1004.0,628.0,-566.0,119.0,773.0,,,432.0,8.0
東京,4,2,ゴールデンカイト,中内田充,-7.0,-294.0,-48.0,77.0,-144.0,97.0,,,-319.0,11.0
東京,4,3,オビドス,高橋文雅,97.0,938.0,-382.0,330.0,303.0,-66.0,,,1220.0,4.0
東京,4,4,テンペストーソ,石栗龍彦,252.0,-61.0,1045.0,-182.0,1743.0,559.0,,,3356.0,1.0
東京,4,5,ファミーユウルーズ,武藤善則,-278.0,227.0,-1028.0,-344.0,-1114.0,-614.0,,,-3151.0,15.0
東京,4,6,サノノダンサー,尾形和幸,346.0,-666.0,-1625.0,-1055.0,-850.0,-1058.0,,,-4908.0,16.0
東京,4,7,エヌマエリシュ,上原博之,345.0,-646.0,-462.0,-690.0,-552.0,-522.0,,,-2527.0,13.0
東京,4,8,ジュンビクトワール,中舘英二,-692.0,-367.0,-364.0,-294.0,-586.0,-512.0,,,-2815.0,14.0
東京,4,9,ルヴァレドクール,田村康仁,524.0,-789.0,-198.0,-90.0,982.0,576.0,,,1005.0,5.0
東京,4,10,マイネルメドリング,青木孝文,45.0,193.0,-257.0,131.0,551.0,-405.0,,,258.0,9.0
東京,4,11,ラントレイル,牧光二　,100.0,471.0,-62.0,158.0,62.0,-275.0,,,454.0,7.0
東京,4,12,アンエクスプロード,池上昌和,-48.0,505.0,590.0,-232.0,-770.0,674.0,,,719.0,6.0
東京,4,13,チェリースカヤ,小西一男,-4.0,-822.0,383.0,-790.0,-480.0,-434.0,,,-2147.0,12.0
東京,4,14,マカセナハレ,小野次郎,8.0,1050.0,-200.0,-460.0,650.0,814.0,,,1862.0,2.0
東京,4,15,メイユウ,蛯名正義,188.0,1299.0,-787.0,-264.0,-122.0,-294.0,,,20.0,10.0
東京,4,16,ショウナンカチドキ,久保田貴,787.0,113.0,-79.0,-201.0,400.0,548.0,,,1568.0,3.0
東京,5,1,アセンブリールーム,中川公成,621.0,-295.0,-449.0,-513.0,-279.0,1161.0,,,246.0,6.0
東京,5,2,ノロシ,高木登　,1184.0,-92.0,497.0,46.0,1539.0,453.0,,,3627.0,4.0
東京,5,3,ストラスブール,牧光二　,100.0,-119.0,-76.0,158.0,16.0,-275.0,,,-196.0,7.0
東京,5,4,オルグジェシダ,宮田敬介,-334.0,-679.0,-1011.0,-493.0,-628.0,-456.0,,,-3601.0,8.0
東京,5,5,デビューフライト,小島茂之,702.0,226.0,2692.0,342.0,1180.0,1723.0,,,6865.0,1.0
東京,5,6,グランツローゼ,千葉直人,,,,,,,,,,
東京,5,7,カザンラク,嘉藤貴行,1250.0,-142.0,1552.0,-36.0,1206.0,888.0,,,4718.0,3.0
東京,5,8,サヴォンリンナ,田中克典,-119.0,-350.0,915.0,344.0,2654.0,-196.0,,,3248.0,5.0
東京,5,9,ヤマニンエイドロン,辻哲英　,759.0,397.0,1254.0,744.0,1512.0,1113.0,,,5779.0,2.0
