,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,1.0,,8.0,,1.0,8.0,1.0,8.0,,,2.0,1.0,,,,,4.0,2.0,1.0,,,8.0,,1.0,
2022,,,5.0,,,5.0,2.0,3.0,,,,2.0,,1.0,,,,2.0,,,,2.0,,3.0,
2023,,3.0,14.0,3.0,,14.0,3.0,14.0,,,3.0,2.0,,2.0,1.0,2.0,6.0,1.0,,,,14.0,1.0,2.0,
2024,1.0,1.0,28.0,,,30.0,9.0,21.0,,,3.0,4.0,2.0,2.0,3.0,5.0,,11.0,,,,21.0,,9.0,
2025,,2.0,20.0,2.0,,20.0,5.0,17.0,,,1.0,2.0,1.0,4.0,2.0,3.0,2.0,7.0,,2.0,,19.0,,3.0,
