場所,R,馬番,人気,単オッズ,複勝オッズ下,上,単勝,複勝,馬連配当,開催日,推定人気,人気ランク
中山,9,16,13.0,118.7,12.4,18.8,,1730.0,42080.0,20250105,,
中山,10,1,5.0,11.4,2.3,3.7,,,,20250105,,
中山,10,2,7.0,28.3,3.6,5.9,,,,20250105,,
中山,10,3,12.0,141.1,11.8,20.3,,,,20250105,,
中山,10,4,11.0,97.5,9.6,16.4,,,,20250105,,
中山,10,5,6.0,25.3,3.6,5.9,,,,20250105,,
中山,10,6,4.0,8.9,1.8,2.8,,,,20250105,,
中山,10,7,10.0,61.9,6.0,10.1,,600.0,,20250105,,
中山,10,8,3.0,5.8,1.5,2.3,,,,20250105,,
中山,10,9,1.0,1.8,1.1,1.4,180.0,120.0,600.0,20250105,,
中山,10,10,2.0,5.5,1.6,2.4,,180.0,600.0,20250105,,
中山,10,11,9.0,55.7,6.3,10.6,,,,20250105,,
中山,10,12,8.0,39.7,6.0,10.2,,,,20250105,,
中山,10,13,14.0,307.0,20.9,36.0,,,,20250105,,
中山,10,14,15.0,400.0,36.2,62.6,,,,20250105,,
中山,10,15,13.0,184.2,13.8,23.8,,,,20250105,,
中山,11,1,12.0,42.5,7.4,10.1,,,,20250105,,
中山,11,2,4.0,8.4,2.6,3.4,840.0,300.0,3660.0,20250105,,
中山,11,3,7.0,11.3,3.4,4.6,,,,20250105,,
中山,11,4,11.0,29.8,7.3,10.1,,,,20250105,,
中山,11,5,9.0,19.6,4.4,5.9,,,,20250105,,
中山,11,6,13.0,64.8,13.3,18.4,,,,20250105,,
中山,11,7,6.0,10.2,2.6,3.5,,310.0,3660.0,20250105,,
中山,11,8,10.0,26.0,5.2,7.0,,,,20250105,,
中山,11,9,15.0,88.4,13.0,17.9,,,,20250105,,
中山,11,10,16.0,120.5,20.1,27.9,,,,20250105,,
中山,11,11,18.0,258.7,43.1,59.6,,,,20250105,,
中山,11,12,14.0,73.5,11.0,15.2,,,,20250105,,
中山,11,13,17.0,244.5,44.3,61.3,,,,20250105,,
中山,11,14,5.0,8.5,2.5,3.3,,,,20250105,,
中山,11,15,1.0,4.4,1.8,2.2,,,,20250105,,
中山,11,16,8.0,16.5,3.8,5.1,,430.0,,20250105,,
中山,11,17,3.0,7.8,2.3,3.0,,,,20250105,,
中山,11,18,2.0,4.6,2.0,2.5,,,,20250105,,
中山,12,1,13.0,177.6,20.5,32.5,,,,20250105,,
中山,12,2,11.0,102.5,9.4,14.7,,,,20250105,,
中山,12,3,7.0,23.0,3.8,5.7,,,,20250105,,
中山,12,4,5.0,7.3,1.7,2.5,,,,20250105,,
中山,12,5,4.0,7.3,1.9,2.8,730.0,220.0,1240.0,20250105,,
中山,12,6,2.0,3.3,1.6,2.2,,180.0,1240.0,20250105,,
中山,12,7,10.0,90.8,10.0,15.7,,,,20250105,,
中山,12,8,8.0,39.9,6.3,9.7,,,,20250105,,
中山,12,9,12.0,143.0,11.9,18.7,,,,20250105,,
中山,12,10,16.0,282.4,33.2,52.7,,,,20250105,,
中山,12,11,14.0,252.6,24.6,39.0,,,,20250105,,
中山,12,12,15.0,261.8,27.1,43.1,,,,20250105,,
中山,12,13,9.0,43.0,7.2,11.2,,,,20250105,,
中山,12,14,1.0,3.2,1.3,1.7,,,,20250105,,
中山,12,15,6.0,15.6,2.8,4.2,,,,20250105,,
中山,12,16,3.0,5.8,1.8,2.7,,210.0,,20250105,,
中京,1,1,8.0,95.9,9.2,16.4,,,,20250105,,
中京,1,2,3.0,5.3,1.4,2.2,530.0,140.0,660.0,20250105,,
中京,1,3,11.0,153.3,20.6,37.2,,,,20250105,,
中京,1,4,1.0,2.8,1.1,1.4,,110.0,,20250105,,
中京,1,5,4.0,5.6,1.5,2.3,,,,20250105,,
中京,1,6,16.0,457.6,62.0,112.8,,,,20250105,,
中京,1,7,6.0,18.3,2.8,4.8,,,,20250105,,
中京,1,8,15.0,314.3,42.5,77.2,,,,20250105,,
中京,1,9,10.0,125.7,15.2,27.3,,,,20250105,,
中京,1,10,2.0,3.2,1.4,2.1,,140.0,660.0,20250105,,
中京,1,11,5.0,10.6,2.2,3.6,,,,20250105,,
中京,1,12,14.0,313.8,28.6,52.0,,,,20250105,,
中京,1,13,13.0,266.0,32.9,59.8,,,,20250105,,
中京,1,14,7.0,36.3,5.1,8.9,,,,20250105,,
中京,1,15,9.0,120.1,13.5,24.3,,,,20250105,,
中京,1,16,12.0,154.3,20.3,36.7,,,,20250105,,
中京,2,1,12.0,60.6,12.8,18.6,,,,20250105,,
中京,2,2,15.0,156.2,26.8,39.0,,,,20250105,,
中京,2,3,10.0,31.6,6.8,9.8,,,,20250105,,
中京,2,4,3.0,4.9,1.6,2.0,490.0,170.0,1140.0,20250105,,
中京,2,5,7.0,16.3,4.8,6.8,,,,20250105,,
中京,2,6,8.0,29.1,7.2,10.4,,,,20250105,,
中京,2,7,9.0,30.3,6.5,9.3,,,,20250105,,
中京,2,8,2.0,4.7,1.8,2.4,,,,20250105,,
中京,2,9,13.0,68.1,11.6,16.9,,,,20250105,,
中京,2,10,14.0,90.3,11.6,16.8,,,,20250105,,
中京,2,11,5.0,6.8,1.8,2.4,,,,20250105,,
中京,2,12,6.0,12.6,4.0,5.6,,400.0,,20250105,,
中京,2,13,4.0,6.0,1.8,2.4,,,,20250105,,
中京,2,14,11.0,48.4,9.5,13.8,,,,20250105,,
中京,2,15,1.0,4.5,1.6,2.1,,180.0,1140.0,20250105,,
中京,2,16,16.0,250.8,40.8,59.4,,,,20250105,,
中京,3,1,13.0,179.4,18.1,70.7,,,,20250105,,
中京,3,2,12.0,148.5,12.4,47.8,,,,20250105,,
中京,3,3,16.0,393.3,28.3,110.8,,,,20250105,,
中京,3,4,15.0,251.5,29.0,113.6,,,,20250105,,
中京,3,5,1.0,1.5,1.1,1.1,150.0,110.0,500.0,20250105,,
中京,3,6,5.0,26.3,2.5,8.4,,,,20250105,,
中京,3,7,10.0,79.5,8.8,33.7,,,,20250105,,
中京,3,8,8.0,48.1,4.3,15.6,,,,20250105,,
中京,3,9,2.0,4.5,1.2,3.1,,,,20250105,,
中京,3,10,4.0,19.2,2.1,6.7,,,,20250105,,
中京,3,11,11.0,105.8,11.3,43.6,,,,20250105,,
中京,3,12,7.0,47.2,4.0,14.7,,,,20250105,,
中京,3,13,6.0,26.8,3.5,12.5,,390.0,,20250105,,
