場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,1,フローレスカラーズ,3歳,丹内祐次,高木登,中距離,右回り,,ダノンレジェンド,,距離延長
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,2,セルレーヴ,3歳,原優介,田中博康,中距離,右回り,,リオンディーズ,休明初戦,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,3,タイセイルビー,3歳,三浦皇成,千葉直人,中距離,右回り,,サトノダイヤモンド,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,4,ビレッジルイーザ,3歳,荻野極,伊藤圭三,中距離,右回り,,ノーブルミッション,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,5,スターキャンディ,3歳,小林脩斗,松山将樹,中距離,右回り,,シュヴァルグラン,連闘,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,6,アスコットヴェール,3歳,佐々木大,竹内正洋,中距離,右回り,,モズアスコット,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,7,アースアクシス,3歳,戸崎圭太,栗田徹,中距離,右回り,,ドレフォン,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,8,エコロストーム,3歳,津村明秀,千葉直人,中距離,右回り,,ロージズインメイ,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,9,イヌボウノキラメキ,3歳,長浜鴻緒,嘉藤貴行,中距離,右回り,,ドレフォン,,距離延長
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,10,ニューカワイイ,3歳,石田拓郎,中川公成,中距離,右回り,,カリフォルニアクローム,休明初戦,距離延長
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,11,クイーンズホリデー,3歳,岩田康誠,林徹,中距離,右回り,,オルフェーヴル,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,12,ゴールドビリーヴ,3歳,田辺裕信,鈴木慎太,中距離,右回り,,ゴールドアクター,,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,13,ロット,3歳,嶋田純次,本間忍,中距離,右回り,,ダノンバラード,連闘,
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,14,モーニンムスメ,3歳,遠藤汰月,加藤和宏,中距離,右回り,,モーニン,,距離延長
中山,1,未勝利,ダート,1800,良(暫定),Lv2 ,15,フライスカイハイ,3歳,吉田豊,菊川正達,中距離,右回り,,ロードカナロア,,
中山,2,未勝利,ダート,1800,良(暫定),Lv3 ,1,ジェネラスキング,3歳,佐々木大,久保田貴,中距離,右回り,,ルーラーシップ,,
