,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,58.0,106.0,,100.0,61.0,3.0,72.0,92.0,14.0,13.0,1.0,20.0,,1.0,52.0,,55.0,8.0,10.0,35.0,15.0,79.0,63.0,2.0,5.0
2022,37.0,72.0,,47.0,59.0,3.0,42.0,67.0,,,3.0,2.0,1.0,,39.0,,40.0,24.0,6.0,25.0,9.0,57.0,42.0,,1.0
2023,43.0,45.0,,44.0,41.0,3.0,21.0,67.0,,,2.0,,,1.0,21.0,20.0,32.0,12.0,11.0,23.0,11.0,51.0,19.0,6.0,1.0
2024,21.0,37.0,,34.0,24.0,,15.0,43.0,,,7.0,5.0,1.0,,9.0,26.0,6.0,4.0,5.0,11.0,7.0,31.0,20.0,,
2025,38.0,48.0,,61.0,23.0,2.0,24.0,62.0,,,3.0,3.0,,,21.0,21.0,23.0,15.0,7.0,8.0,9.0,44.0,30.0,2.0,1.0
