場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
札幌,1,1,ラスベガスサイン,小林美駒,90.0,102.0,94.0,96.0,121.0,,100.6,7.0
札幌,1,2,ディオスデルマール,舟山瑠泉,,,,,,,,
札幌,1,3,ヒッグスボソン,丹内祐次,112.0,102.0,107.0,98.0,104.0,109.0,105.333,5.0
札幌,1,4,グリーンスリーヴス,柴田裕一,91.0,69.0,104.0,82.0,91.0,,87.4,9.0
札幌,1,5,ココソラーレ,橋木太希,88.0,163.0,119.0,55.0,154.0,,115.8,1.0
札幌,1,6,ジュディーイメル,浜中俊　,109.0,103.0,107.0,103.0,103.0,114.0,106.5,4.0
札幌,1,7,ウーマンズパワー,斎藤新　,131.0,102.0,98.0,103.0,102.0,105.0,106.833,2.0
札幌,1,8,ハネマン,黛弘人　,112.0,108.0,102.0,99.0,109.0,102.0,105.333,5.0
札幌,1,9,プレヒティヒ,鷲頭虎太,88.0,104.0,105.0,113.0,108.0,123.0,106.833,2.0
札幌,1,10,ファニーバニー,横山武史,98.0,100.0,100.0,95.0,98.0,107.0,99.667,8.0
札幌,2,1,リポジノ,小林美駒,90.0,90.0,97.0,96.0,112.0,,97.0,7.0
札幌,2,2,ハローエンジェル,舟山瑠泉,,,,,,,,
札幌,2,3,スフレ,桑村真明,,,,,,,,
札幌,2,4,アラマンダ,荻野琢真,98.0,125.0,104.0,101.0,112.0,107.0,107.833,2.0
札幌,2,5,アクセルギア,森田誠也,,,,,,,,
札幌,2,6,ユージュアーナ,斎藤新　,131.0,102.0,102.0,97.0,102.0,109.0,107.167,3.0
札幌,2,7,フィエールガール,古川奈穂,67.0,89.0,94.0,90.0,92.0,95.0,87.833,10.0
札幌,2,8,ベルシャイニー,柴田裕一,91.0,96.0,72.0,82.0,108.0,,89.8,9.0
札幌,2,9,スマートイザナミ,武豊　　,97.0,95.0,100.0,97.0,98.0,99.0,97.667,6.0
札幌,2,10,ラヴァフォール,横山武史,98.0,100.0,92.0,97.0,98.0,92.0,96.167,8.0
札幌,2,11,プロピエダッド,黛弘人　,112.0,108.0,110.0,108.0,109.0,91.0,106.333,4.0
札幌,2,12,ゴールドサニーデイ,和田陽希,,,,,,,,
札幌,2,13,ペイシャキセキ,松本大輝,157.0,102.0,103.0,93.0,106.0,90.0,108.5,1.0
札幌,2,14,カスバートテソーロ,丹内祐次,112.0,102.0,100.0,107.0,104.0,97.0,103.667,5.0
札幌,3,1,タイセイアビリティ,斎藤新　,131.0,102.0,102.0,103.0,102.0,109.0,108.167,3.0
札幌,3,2,ジェンダアネモス,舟山瑠泉,,,,,,,,
札幌,3,3,ステラノヴァ,武豊　　,97.0,95.0,100.0,97.0,98.0,99.0,97.667,7.0
札幌,3,4,ウェカピポ,松本大輝,157.0,102.0,103.0,104.0,106.0,90.0,110.333,2.0
札幌,3,5,フルグライト,松岡正海,152.0,102.0,88.0,101.0,104.0,99.0,107.667,4.0
札幌,3,6,セイルロケット,鷲頭虎太,88.0,104.0,107.0,113.0,108.0,102.0,103.667,5.0
札幌,3,7,タイセイルヴァン,丹内祐次,112.0,102.0,100.0,98.0,104.0,97.0,102.167,6.0
札幌,3,8,リュウジンオー,池添謙一,107.0,102.0,98.0,97.0,98.0,83.0,97.5,8.0
札幌,3,9,バーミーズルビー,古川奈穂,67.0,89.0,94.0,91.0,92.0,95.0,88.0,10.0
札幌,3,10,コッコラーレ,和田陽希,,,,,,,,
札幌,3,11,エレレラナキラ,柴田裕一,91.0,96.0,104.0,82.0,108.0,,96.2,9.0
札幌,3,12,ブラックエンパイア,荻野琢真,98.0,125.0,104.0,130.0,112.0,107.0,112.667,1.0
札幌,4,1,アロマフェリス,横山武史,98.0,100.0,100.0,97.0,98.0,107.0,100.0,9.0
札幌,4,2,エオアリイ,舟山瑠泉,,,,,,,,
札幌,4,3,テンミラージュ,黛弘人　,112.0,108.0,102.0,108.0,109.0,102.0,106.833,2.0
札幌,4,4,コンスピラシー,原田和真,70.0,57.0,115.0,83.0,90.0,68.0,80.5,12.0
札幌,4,5,デルマラメール,桑村真明,,,,,,,,
札幌,4,6,コスモクイーンビー,森田誠也,,,,,,,,
札幌,4,7,クレプスクルム,武豊　　,97.0,95.0,95.0,97.0,98.0,93.0,95.833,10.0
札幌,4,8,クランドゥイユ,鷲頭虎太,88.0,104.0,105.0,101.0,108.0,123.0,104.833,5.0
札幌,4,9,アンガアヴィス,松岡正海,152.0,102.0,108.0,98.0,104.0,120.0,114.0,1.0
札幌,4,10,オフザチェイン,横山和生,103.0,96.0,102.0,104.0,106.0,94.0,100.833,8.0
札幌,4,11,ウインヘリオドール,池添謙一,107.0,102.0,101.0,103.0,98.0,102.0,102.167,6.0
札幌,4,12,マンゲタック,小林美駒,90.0,102.0,97.0,96.0,121.0,,101.2,7.0
札幌,4,13,タイキクロニクル,和田陽希,,,,,,,,
札幌,4,14,ノボリユーミン,柴田裕一,91.0,69.0,72.0,82.0,91.0,,81.0,11.0
札幌,4,15,コスモマガラニカ,丹内祐次,112.0,102.0,107.0,107.0,104.0,109.0,106.833,2.0
札幌,4,16,ジーティーララバイ,斎藤新　,131.0,102.0,98.0,97.0,102.0,105.0,105.833,4.0
札幌,5,1,ショウサンカナヲ,松本大輝,157.0,100.0,92.0,93.0,106.0,75.0,103.833,3.0
札幌,5,2,ネッタイヤライ,古川奈穂,67.0,116.0,91.0,90.0,92.0,78.0,89.0,7.0
札幌,5,3,ヴィスコンテッサ,丹内祐次,112.0,79.0,107.0,107.0,104.0,109.0,103.0,4.0
札幌,5,4,ユウトザケンケン,斎藤新　,131.0,102.0,98.0,97.0,102.0,105.0,105.833,2.0
札幌,5,5,イヌボウノユウヒ,舟山瑠泉,,,,,,,,
札幌,5,6,ローレルアイビー,川又賢治,87.0,72.0,98.0,86.0,95.0,99.0,89.5,6.0
札幌,5,7,エリプティクカーブ,横山武史,98.0,96.0,100.0,97.0,98.0,107.0,99.333,5.0
札幌,5,8,イージーライダー,浜中俊　,109.0,116.0,107.0,103.0,103.0,114.0,108.667,1.0
札幌,6,1,ミユンガー,柴田裕一,91.0,96.0,72.0,82.0,108.0,,89.8,9.0
札幌,6,2,ミッキーキャンディ,浜中俊　,109.0,103.0,95.0,103.0,103.0,87.0,100.0,5.0
札幌,6,3,トーセンアーロン,原田和真,70.0,57.0,95.0,83.0,90.0,119.0,85.667,11.0
札幌,6,4,ファンタズマ,小林美駒,90.0,90.0,97.0,96.0,112.0,,97.0,7.0
札幌,6,5,カワキタホクレア,松岡正海,152.0,102.0,88.0,98.0,104.0,99.0,107.167,1.0
札幌,6,6,ヴィータレヴィス,斎藤新　,131.0,102.0,102.0,97.0,102.0,109.0,107.167,1.0
札幌,6,7,メイショウゲキハ,武豊　　,97.0,95.0,100.0,97.0,98.0,99.0,97.667,6.0
札幌,6,8,サトミノエンジェル,横山武史,98.0,100.0,92.0,97.0,98.0,92.0,96.167,8.0
札幌,6,9,ボールドハーテッド,和田陽希,,,,,,,,
札幌,6,10,タイキインドラ,丹内祐次,112.0,102.0,100.0,107.0,104.0,97.0,103.667,3.0
札幌,6,11,ハイラブソング,橋木太希,88.0,80.0,44.0,55.0,123.0,,78.0,12.0
札幌,6,12,タカイチナダル,古川奈穂,67.0,89.0,94.0,90.0,92.0,95.0,87.833,10.0
札幌,6,13,エルフェニックス,舟山瑠泉,,,,,,,,
札幌,6,14,エスタア,横山和生,103.0,96.0,103.0,104.0,106.0,104.0,102.667,4.0
札幌,7,1,デリシュー,松岡正海,152.0,88.0,108.0,98.0,104.0,120.0,111.667,1.0
札幌,7,2,ダノンミッション,浜中俊　,109.0,95.0,107.0,103.0,103.0,114.0,105.167,3.0
札幌,7,3,ユナホークパワー,橋木太希,90.0,163.0,44.0,55.0,154.0,,101.2,8.0
札幌,7,4,ゴールドブレス,斎藤新　,131.0,98.0,98.0,97.0,102.0,105.0,105.167,3.0
札幌,7,5,マイネルフーガ,横山武史,98.0,93.0,100.0,97.0,98.0,107.0,98.833,9.0
札幌,7,6,ロードアフェット,小林美駒,97.0,102.0,97.0,96.0,121.0,,102.6,6.0
札幌,7,7,マイネルモメンタム,丹内祐次,112.0,108.0,107.0,107.0,104.0,109.0,107.833,2.0
札幌,7,8,セイウンビッグバン,池添謙一,107.0,97.0,101.0,103.0,98.0,102.0,101.333,7.0
札幌,7,9,シュネルカガ,桑村真明,,,,,,,,
札幌,7,10,モアリジット,森田誠也,,,,,,,,
札幌,7,11,シャインシュシュ,和田陽希,,,,,,,,
札幌,7,12,ジーティースピカ,鷲頭虎太,88.0,104.0,105.0,101.0,108.0,123.0,104.833,5.0
札幌,7,13,マーゴットコマチ,古川奈穂,67.0,96.0,91.0,90.0,92.0,78.0,85.667,10.0
札幌,8,1,コンティオ,横山和生,103.0,102.0,103.0,104.0,106.0,104.0,103.667,4.0
札幌,8,2,ライラックデューン,和田陽希,,,,,,,,
札幌,8,3,ジーティーレイナ,桑村真明,,,,,,,,
札幌,8,4,レーヴドレフォン,古川奈穂,67.0,96.0,94.0,90.0,92.0,95.0,89.0,9.0
札幌,8,5,ペタルブランシュ,黛弘人　,112.0,112.0,110.0,108.0,109.0,91.0,107.0,1.0
札幌,8,6,メイショウハマギク,鷲頭虎太,88.0,104.0,107.0,101.0,108.0,102.0,101.667,5.0
札幌,8,7,ガールズデイアウト,川又賢治,87.0,97.0,100.0,86.0,95.0,106.0,95.167,7.0
札幌,8,8,サウンドルーチェ,小林美駒,97.0,90.0,97.0,96.0,112.0,,98.4,6.0
札幌,8,9,メラヴィリオーザ,舟山瑠泉,,,,,,,,
札幌,8,10,レディオンステージ,荻野琢真,98.0,103.0,104.0,101.0,112.0,107.0,104.167,3.0
札幌,8,11,タイヨウフレア,横山武史,98.0,93.0,92.0,97.0,98.0,92.0,95.0,8.0
札幌,8,12,カポレイラ,丹内祐次,112.0,108.0,100.0,107.0,104.0,97.0,104.667,2.0
札幌,8,13,タマモジャスミン,森田誠也,,,,,,,,
札幌,9,1,ボンドロア,横山典弘,114.0,94.0,97.0,73.0,96.0,89.0,93.833,12.0
