場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
札幌,1,1,ラスベガスサイン,シルバーステート,-165.0,-2175.0,1981.0,-474.0,-1355.0,-268.0,,,-2456.0,6.0
札幌,1,2,ディオスデルマール,ミスチヴィアスアレックス,,,,,,,,,,
札幌,1,3,ヒッグスボソン,ファインニードル,115.0,-395.0,733.0,-251.0,353.0,-5.0,,,550.0,4.0
札幌,1,4,グリーンスリーヴス,ミスチヴィアスアレックス,,,,,,,,,,
札幌,1,5,ココソラーレ,セイウンコウセイ,,,,,,,,,,
札幌,1,6,ジュディーイメル,アドマイヤマーズ,-315.0,-240.0,-428.0,563.0,266.0,968.0,185.0,424.0,1423.0,3.0
札幌,1,7,ウーマンズパワー,タワーオブロンドン,221.0,494.0,796.0,338.0,197.0,-157.0,,,1889.0,1.0
札幌,1,8,ハネマン,ファインニードル,115.0,-395.0,733.0,-251.0,353.0,-5.0,,,550.0,4.0
札幌,1,9,プレヒティヒ,ダノンプレミアム,,,,,,,,,,
札幌,1,10,ファニーバニー,シスキン,46.0,-27.0,424.0,424.0,501.0,424.0,,,1792.0,2.0
札幌,2,1,リポジノ,モズアスコット,520.0,616.0,1002.0,1155.0,1376.0,,,,4669.0,5.0
札幌,2,2,ハローエンジェル,レイデオロ,-199.0,44.0,-284.0,-4861.0,-1787.0,-3153.0,,,-10240.0,11.0
札幌,2,3,スフレ,ルヴァンスレーヴ,1364.0,-957.0,891.0,1137.0,3608.0,,,,6043.0,2.0
札幌,2,4,アラマンダ,レイデオロ,-199.0,44.0,-284.0,-4861.0,-1787.0,-3153.0,,,-10240.0,11.0
札幌,2,5,アクセルギア,モーニン,-498.0,-1368.0,-2772.0,-2999.0,-858.0,-1088.0,,,-9583.0,10.0
札幌,2,6,ユージュアーナ,リアルスティール,-71.0,3353.0,3041.0,4033.0,1180.0,1961.0,,,13497.0,1.0
札幌,2,7,フィエールガール,フィエールマン,108.0,1356.0,342.0,812.0,140.0,-349.0,491.0,,2900.0,7.0
札幌,2,8,ベルシャイニー,ビーチパトロール,-6.0,-346.0,-441.0,1005.0,669.0,-346.0,-220.0,-777.0,-462.0,8.0
札幌,2,9,スマートイザナミ,ルヴァンスレーヴ,1364.0,-957.0,891.0,1137.0,3608.0,,,,6043.0,2.0
札幌,2,10,ラヴァフォール,アルアイン,-267.0,-3469.0,-1694.0,-3762.0,-2319.0,-2238.0,-2455.0,-1370.0,-17574.0,13.0
札幌,2,11,プロピエダッド,ルヴァンスレーヴ,1364.0,-957.0,891.0,1137.0,3608.0,,,,6043.0,2.0
札幌,2,12,ゴールドサニーデイ,トーセンラー,-154.0,-673.0,-491.0,-294.0,-903.0,-162.0,-402.0,-231.0,-3310.0,9.0
