場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,1,セルシャーム,3歳,富田暁,野中賢二,中距離,右回り,,ロジャーバローズ,,,8,D
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,2,ロケットパンチ,3歳,武藤雅,武藤善則,中距離,右回り,,ナダル,休明初戦,距離短縮,3,C
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,3,レジェルテ,3歳,和田陽希,柴田卓,中距離,右回り,,シュヴァルグラン,,距離短縮,7,D
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,4,ベストブラザーズ,3歳,小林美駒,辻哲英,中距離,右回り,,キセキ,,距離短縮,6,C
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,5,グレートアゲイン,3歳,松岡正海,牧浦充徳,中距離,右回り,,バンドワゴン,,距離延長,10,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,6,シンエンドーツダ,3歳,菊沢一樹,萱野浩二,中距離,右回り,,イスラボニータ,,距離短縮,5,C
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,7,ディーズベンチャー,3歳,国分恭介,岡田稲男,中距離,右回り,,マジェスティックウォリアー,,距離延長,14,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,8,ウォーターサオラ,3歳,松若風馬,庄野靖志,中距離,右回り,,ウォータービルド,,,9,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,9,パシオネ,3歳,小崎綾也,高橋一哉,中距離,右回り,,アメリカンペイトリオット,休明2走,距離延長,13,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,10,ライヴマティーニ,3歳,森田誠也,尾形和幸,中距離,右回り,,ゴールドドリーム,,距離延長,15,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,11,シューティングガイ,3歳,斎藤新,斎藤誠,中距離,右回り,,マジェスティックウォリアー,休明初戦,距離延長,2,C
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,12,クワッドマリニン,3歳,亀田温心,久保田貴,中距離,右回り,,ニューイヤーズデイ,,距離短縮,4,C
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,13,カミノトップワン,3歳,藤懸貴志,千田輝彦,中距離,右回り,,ウインバリアシオン,,距離短縮,11,E
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,14,ウインビギニング,3歳,丹内祐次,上原博之,中距離,右回り,,ニューイヤーズデイ,,距離短縮,1,A
福島,1,未勝利,ダート,1700,良(暫定),Lv2 ,15,ジャストグレース,3歳,古川吉洋,大根田裕,中距離,右回り,,ホッコータルマエ,,,12,E
