場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
中山,1,1,ウタカタ,蛯名利弘,780.0,-34.0,589.0,-4196.0,319.0,60.0,,,-2482.0,9.0
中山,1,2,ハクサンリンド,菊川正達,-1111.0,453.0,-709.0,-739.0,-1208.0,70.0,-312.0,,-3556.0,11.0
中山,1,3,トリリオンボーイ,武井亮　,453.0,487.0,320.0,1373.0,181.0,101.0,,,2915.0,6.0
中山,1,4,サヨノスピークロウ,和田正一,147.0,986.0,-124.0,569.0,1567.0,1738.0,953.0,,5836.0,3.0
中山,1,5,アルマリカシバ,中舘英二,82.0,-367.0,-364.0,-294.0,-586.0,-982.0,,,-2511.0,10.0
中山,1,6,ナックトライアンフ,杉浦宏昭,-1397.0,791.0,895.0,509.0,1198.0,726.0,,,2722.0,7.0
中山,1,7,キッズウルマ,牧光二　,-649.0,471.0,-62.0,158.0,62.0,-5.0,-332.0,,-357.0,8.0
中山,1,8,シャルパンティエ,南田美知,-549.0,-1722.0,-2586.0,-1574.0,-2809.0,-706.0,,,-9946.0,15.0
中山,1,9,タブロー,矢野英一,-374.0,-197.0,-342.0,-507.0,-729.0,-1641.0,,,-3790.0,12.0
中山,1,10,ダイヤモンドピラー,伊藤圭三,-1295.0,-1156.0,-1372.0,-818.0,-1515.0,-833.0,,,-6989.0,13.0
中山,1,11,チャロ,和田正一,147.0,986.0,-124.0,569.0,1567.0,1738.0,,,4883.0,4.0
中山,1,12,エルオレンス,深山雅史,2006.0,812.0,-4.0,1234.0,2718.0,2833.0,,,9599.0,1.0
中山,1,13,トキメキジニア,佐藤吉勝,-2582.0,-3294.0,-769.0,-3953.0,-1395.0,-3211.0,,,-15204.0,16.0
中山,1,14,レトロブーム,西田雄一,1031.0,1265.0,718.0,663.0,129.0,132.0,,,3938.0,5.0
中山,1,15,レイオーバー,本間忍　,-839.0,-1260.0,-2195.0,-166.0,-1603.0,-2132.0,,,-8195.0,14.0
中山,1,16,ブラックビート,深山雅史,2006.0,812.0,-4.0,1234.0,2718.0,2833.0,,,9599.0,1.0
中山,2,1,エスキモーギャル,杉浦宏昭,-1397.0,791.0,895.0,509.0,-110.0,726.0,,,1414.0,1.0
中山,2,2,ミートザターゲット,森一誠　,,,,,,,,,,
中山,2,3,オブシディアーナ,国枝栄　,86.0,-502.0,-960.0,18.0,-561.0,-706.0,,,-2625.0,5.0
中山,2,4,エファセデリエール,伊坂重信,-1125.0,-72.0,-1904.0,-391.0,-1475.0,-1667.0,,,-6634.0,11.0
中山,2,5,ニシノキヨハ,千葉直人,,,,,,,,,,
中山,2,6,ディペンダブル,菊沢隆徳,-728.0,149.0,-737.0,28.0,-860.0,-621.0,-121.0,,-2890.0,8.0
中山,2,7,ネクストダンサー,伊藤圭三,-1295.0,-1156.0,-1372.0,-818.0,-802.0,-833.0,,,-6276.0,10.0
中山,2,8,ダカラフェスティヴ,奥平雅士,-493.0,-82.0,-471.0,655.0,438.0,907.0,,,954.0,2.0
中山,2,9,セラード,佐藤吉勝,-2582.0,-3294.0,-769.0,-3953.0,-1988.0,-3211.0,,,-15797.0,14.0
中山,2,10,スノークルーズ,武藤善則,-1065.0,227.0,-1028.0,-344.0,-450.0,-155.0,,,-2815.0,7.0
中山,2,11,カシマスウィープ,伊藤伸一,887.0,-253.0,-122.0,-1331.0,553.0,975.0,,,709.0,3.0
中山,2,12,ノメンターノ,武市康男,-1301.0,-1433.0,-2119.0,-219.0,-250.0,-2552.0,,,-7874.0,12.0
中山,2,13,コンアフェット,斎藤誠　,127.0,502.0,967.0,-148.0,-1496.0,-83.0,,,-131.0,4.0
中山,2,14,キョウエイタイコ,勢司和浩,-627.0,-2430.0,-2153.0,-978.0,-1142.0,-1177.0,,,-8507.0,13.0
