場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
中山,1,未勝利,ダート,1200,良,1,バル,3歳,菊沢一樹,武市康男,先行,0.0,0.0,短距離,右回り,,Lv3 ,マテラスカイ,,,8,D,12.2,2.0,12.2,2.0,35.5,3.0,38.1,6.0,C,C,B,,
中山,1,未勝利,ダート,1200,良,2,シュートザムーン,3歳,野中悠太,伊藤伸一,追込,,,短距離,右回り,,Lv3 ,サトノジェネシス,,距離短縮,16,E,13.1,12.0,13.1,11.0,37.8,,39.3,,C,D,B,C,
中山,1,未勝利,ダート,1200,良,3,テルケンレンタッチ,3歳,木幡育也,勢司和浩,,,,短距離,右回り,,Lv3 ,エスケンデレヤ,,,12,E,,,,,,,,,,,,,
中山,1,未勝利,ダート,1200,良,4,デスサイズ,3歳,石川裕紀,小手川準,先行,100.0,100.0,短距離,右回り,,Lv3 ,シスキン,,,1,A,12.1,1.0,12.1,1.0,35.3,1.0,36.9,1.0,C,C,,,
中山,1,未勝利,ダート,1200,良,5,メイショウバリスタ,3歳,柴田善臣,西田雄一,,,,短距離,右回り,,Lv3 ,ワールドエース,,,9,D,,,,,,,,,,,,,
中山,1,未勝利,ダート,1200,良,6,パンジー,3歳,黛弘人,深山雅史,差し,,,短距離,右回り,,Lv3 ,ウインブライト,休明3走,距離短縮,11,E,12.9,9.0,12.9,7.0,,,,,C,B,C,D,D
中山,1,未勝利,ダート,1200,良,7,ヨドノティアラ,3歳,津村明秀,矢嶋大樹,先行,,0.0,短距離,右回り,,Lv3 ,マテラスカイ,休明2走,距離短縮,2,C,12.3,4.0,13.0,8.0,,,,,C,D,D,C,D
中山,1,未勝利,ダート,1200,良,8,ウシャス,3歳,長浜鴻緒,平岩大典,追込,0.0,0.0,短距離,右回り,,Lv3 ,ゴールドドリーム,,,14,E,13.1,12.0,13.9,13.0,36.9,7.0,37.8,5.0,C,D,C,,
中山,1,未勝利,ダート,1200,良,9,マダックス,3歳,大野拓弥,高柳瑞樹,差し,0.0,0.0,短距離,右回り,,Lv3 ,マクフィ,休明2走,,4,C,12.7,6.0,12.7,5.0,35.8,4.0,36.9,1.0,C,B,,,
中山,1,未勝利,ダート,1200,良,10,ハンナパール,3歳,吉田豊,小野次郎,,,,短距離,右回り,,Lv3 ,ミッキーグローリー,,,10,E,,,,,,,,,,,,,
中山,1,未勝利,ダート,1200,良,11,シルバープレート,3歳,小林脩斗,青木孝文,差し,0.0,0.0,短距離,右回り,,Lv3 ,シルバーステート,休明初戦,,15,E,12.5,5.0,12.5,4.0,36.1,5.0,43.0,,C,,,,
中山,1,未勝利,ダート,1200,良,12,アクシズ,3歳,横山琉人,尾形和幸,差し,0.0,0.0,短距離,右回り,,Lv3 ,ダノンプレミアム,,距離延長,13,E,13.0,10.0,13.2,12.0,37.2,,37.4,4.0,C,C,D,,
中山,1,未勝利,ダート,1200,良,13,チョウブク,3歳,石田拓郎,新開幸一,差し,,,短距離,右回り,,Lv3 ,パドトロワ,休明2走,,7,D,12.7,6.0,12.7,5.0,,,,,B,C,,,
中山,1,未勝利,ダート,1200,良,14,ワルキューレキング,3歳,原優介,伊藤大士,先行,0.0,0.0,短距離,右回り,,Lv3 ,サートゥルナーリア,休明3走,距離短縮,6,D,12.2,2.0,12.4,3.0,35.3,1.0,38.8,8.0,C,C,C,,
中山,1,未勝利,ダート,1200,良,15,カンノンミッキー,3歳,木幡巧也,手塚貴徳,差し,0.0,0.0,短距離,右回り,,Lv3 ,ミッキーロケット,,,3,C,12.8,8.0,13.0,8.0,36.6,6.0,36.9,1.0,C,C,E,,
中山,1,未勝利,ダート,1200,良,16,ヘルヴィッツ,3歳,横山和生,柄崎将寿,先行,,,短距離,右回り,,Lv3 ,ミスターメロディ,,距離短縮,5,D,13.0,10.0,13.0,8.0,37.0,8.0,38.5,7.0,C,,,,
中山,2,未勝利,ダート,1800,良,1,プリンセスダーコ,3歳,原優介,清水英克,差し,0.0,0.0,中距離,右回り,,Lv2 ,マクフィ,休明初戦,,7,D,13.2,9.0,13.3,5.0,37.5,,38.2,3.0,C,C,C,,
中山,2,未勝利,ダート,1800,良,2,トーケンジンロック,3歳,長浜鴻緒,小野次郎,先行,0.0,0.0,中距離,右回り,,Lv2 ,サトノクラウン,休明3走,,8,D,12.7,2.0,12.7,2.0,37.2,6.0,39.8,,C,B,D,,
中山,2,未勝利,ダート,1800,良,3,イーグルロック,3歳,石川裕紀,相沢郁,差し,,,中距離,右回り,,Lv2 ,ナダル,,距離延長,2,B,13.6,13.0,13.6,10.0,36.9,5.0,37.4,1.0,B,,,,
中山,2,未勝利,ダート,1800,良,4,ブッチギレ,3歳,横山和生,栗田徹,差し,0.0,0.0,中距離,右回り,,Lv2 ,マジェスティックウォリアー,休明初戦,距離延長,9,D,12.4,1.0,12.4,1.0,35.7,1.0,38.3,4.0,C,C,D,,
中山,2,未勝利,ダート,1800,良,5,ネオアカジョウ,3歳,上里直汰,松尾卓哉,追込,0.0,,中距離,右回り,,Lv2 ,ダノンスマッシュ,休明3走,距離延長,15,E,12.7,2.0,13.4,6.0,35.9,3.0,39.0,7.0,C,E,C,,
中山,2,未勝利,ダート,1800,良,6,アイデアユー,3歳,戸崎圭太,鹿戸雄一,逃げ,100.0,100.0,中距離,右回り,,Lv2 ,シニスターミニスター,,,1,A,12.8,4.0,12.9,3.0,35.7,1.0,37.8,2.0,C,C,,,
中山,2,未勝利,ダート,1800,良,7,ラヴィニアパーク,3歳,津村明秀,萩原清,差し,,,中距離,右回り,,Lv2 ,ハービンジャー,,距離短縮,5,D,13.4,11.0,13.4,6.0,,,,,D,C,,,
中山,2,未勝利,ダート,1800,良,8,レッツゴーファイト,3歳,小林脩斗,伊藤伸一,差し,,,中距離,右回り,,Lv2 ,ノーブルミッション,連闘,距離延長,13,E,12.9,5.0,13.9,13.0,,,,,C,B,D,C,
中山,2,未勝利,ダート,1800,良,9,イサチルシーキング,3歳,石橋脩,辻哲英,差し,,,中距離,右回り,,Lv2 ,アメリカンペイトリオット,休明初戦,,3,C,13.5,12.0,13.5,9.0,,,,,C,,,,
中山,2,未勝利,ダート,1800,良,10,クアッドフォルツァ,3歳,佐藤翔馬,伊藤圭三,差し,0.0,0.0,中距離,右回り,,Lv2 ,ゴールドドリーム,,,11,E,13.3,10.0,13.7,11.0,37.2,6.0,38.8,6.0,C,C,C,B,C
中山,2,未勝利,ダート,1800,良,11,ラッキースウィッチ,3歳,荻野極,蛯名正義,先行,0.0,0.0,中距離,右回り,,Lv2 ,Lucky Vega,休明2走,,4,C,13.0,6.0,13.4,6.0,38.1,,39.5,,B,D,C,D,
中山,2,未勝利,ダート,1800,良,12,ジュンノシャップ,3歳,遠藤汰月,高柳瑞樹,,,,中距離,右回り,,Lv2 ,ジュンツバサ,,,10,E,,,,,,,,,,,,,
中山,2,未勝利,ダート,1800,良,13,ロジシーザ,3歳,岩田康誠,古賀慎明,先行,,,中距離,右回り,,Lv2 ,ドレフォン,,距離延長,6,D,13.0,6.0,13.0,4.0,36.4,4.0,39.3,,D,,,,
中山,2,未勝利,ダート,1800,良,14,ヴァルク,3歳,菊沢一樹,武市康男,差し,0.0,0.0,中距離,右回り,,Lv2 ,パドトロワ,休明2走,,14,E,13.1,8.0,13.7,11.0,38.1,,38.5,5.0,D,C,,,
中山,2,未勝利,ダート,1800,良,15,シュタットパーク,3歳,木幡巧也,金成貴史,追込,,,中距離,右回り,,Lv2 ,サトノクラウン,休明初戦,距離延長,12,E,14.0,14.0,14.0,14.0,,,,,B,,,,
中山,3,自己条件,ダート,1200,良,1,タイセイエキサイト,3歳,長浜鴻緒,青木孝文,追込,0.0,0.0,短距離,右回り,,Lv2 ,アジアエクスプレス,,距離短縮,13,E,13.3,13.0,,,37.5,,37.7,,,C,C,C,
中山,3,自己条件,ダート,1200,良,2,タカスタカスタカス,3歳,三浦皇成,藤原英昭,逃げ,,100.0,短距離,右回り,,Lv2 ,Mor Spirit,休明2走,距離短縮,2,B,12.3,6.0,12.4,7.0,35.3,6.0,37.4,,D,C,,,
中山,3,自己条件,ダート,1200,良,3,ヒナノムサシ,3歳,柴田善臣,本間忍,逃げ,,,短距離,右回り,,Lv2 ,ミッキーアイル,休明2走,距離短縮,14,E,12.3,6.0,12.3,6.0,35.0,5.0,38.5,,D,C,D,,
