場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
福島,1,未勝利,ダート,1150,良,Lv2 ,1,セントリアン,2歳,野中悠太,萱野浩二,短距離,右回り,,アジアエクスプレス,,距離短縮,4,C,12.0,2.0,13.1,14.0,35.4,2.0,38.0,3.0,C,B,D,B,
福島,1,未勝利,ダート,1150,良,Lv2 ,2,ファンシーフリル,2歳,秋山稔樹,蛯名利弘,短距離,右回り,,フォーウィールドライブ,,距離短縮,5,C,11.6,1.0,11.8,1.0,34.5,1.0,38.2,5.0,C,B,D,C,
福島,1,未勝利,ダート,1150,良,Lv2 ,3,チャーミングアイ,2歳,吉田隼人,菊川正達,短距離,右回り,,マテラスカイ,,距離短縮,12,E,12.6,9.0,12.6,7.0,36.1,6.0,40.8,,B,C,,,
福島,1,未勝利,ダート,1150,良,Lv2 ,4,ウーマンズパワー,2歳,横山琉人,中尾秀正,短距離,右回り,,タワーオブロンドン,,距離短縮,2,B,12.1,3.0,12.1,2.0,35.5,4.0,38.5,7.0,B,C,C,,
福島,1,未勝利,ダート,1150,良,Lv2 ,5,ドナシェーン,2歳,荻野極,栗田徹,短距離,右回り,,Munnings,休明3走,距離短縮,1,B,12.2,4.0,12.2,3.0,35.4,2.0,37.0,1.0,C,C,C,,
福島,1,未勝利,ダート,1150,良,Lv2 ,6,ラムールデュヴォン,2歳,亀田温心,堀内岳志,短距離,右回り,,ミスチヴィアスアレックス,休明2走,距離短縮,10,E,12.4,5.0,12.4,4.0,36.3,,38.0,3.0,C,C,C,C,
福島,1,未勝利,ダート,1150,良,Lv2 ,7,ラインカシウス,2歳,嶋田純次,水野貴広,短距離,右回り,,リアルスティール,休明初戦,距離短縮,15,E,12.5,7.0,13.2,15.0,36.3,,38.5,7.0,C,C,C,B,
福島,1,未勝利,ダート,1150,良,Lv2 ,8,ノーブルティアラ,2歳,武藤雅,水野貴広,短距離,右回り,,サンダースノー,,距離短縮,13,E,12.7,11.0,12.7,9.0,36.0,5.0,43.0,,B,,,,
福島,1,未勝利,ダート,1150,良,Lv2 ,9,アッチョンブリケ,2歳,松若風馬,小椋研介,短距離,右回り,,マテラスカイ,休明初戦,距離延長,6,D,12.5,7.0,12.5,6.0,36.1,6.0,37.8,2.0,C,,,,
福島,1,未勝利,ダート,1150,良,Lv2 ,10,ジャンシ,2歳,丸山元気,森秀行,短距離,右回り,,More Than Ready,,距離短縮,3,C,13.0,15.0,13.5,16.0,,,,,C,C,,,
