場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
新潟,1,1,ディープレイヤー,ディーマジェスティ,111.0,102.0,92.0,87.0,94.0,89.0,,,95.833,8.0
新潟,1,2,フォルガイル,レイデオロ,115.0,100.0,21.0,88.0,108.0,92.0,,,87.333,13.0
新潟,1,3,プリンセスララア,スピルバーグ,83.0,96.0,80.0,75.0,98.0,95.0,101.0,,89.714,11.0
新潟,1,4,トラモント,アイルハヴアナザー,97.0,99.0,91.0,94.0,81.0,103.0,107.0,,96.0,7.0
新潟,1,5,ブルースピリット,Invincible Spirit,74.0,84.0,112.0,112.0,91.0,,,,94.6,9.0
新潟,1,6,サクセスバラード,ダノンバラード,112.0,100.0,21.0,93.0,80.0,115.0,105.0,,89.429,12.0
新潟,1,7,サルサロッサ,エスケンデレヤ,95.0,104.0,108.0,91.0,118.0,93.0,114.0,,103.286,2.0
新潟,1,8,ディープグラビティ,ディープインパクト,96.0,98.0,100.0,98.0,97.0,98.0,94.0,,97.286,6.0
新潟,1,9,コスモゴレアドール,ゴールドシップ,103.0,102.0,100.0,88.0,102.0,94.0,101.0,,98.571,4.0
新潟,1,10,ウィズユアドリーム,サトノダイヤモンド,109.0,108.0,255.0,84.0,98.0,89.0,,,123.833,1.0
新潟,1,11,ホウオウエクレール,ブラックタイド,83.0,103.0,89.0,102.0,92.0,95.0,94.0,,94.0,10.0
新潟,1,12,フリーダムレイン,ミッキーアイル,92.0,103.0,98.0,111.0,100.0,100.0,99.0,,100.429,3.0
新潟,1,13,ドライグ,ダノンレジェンド,85.0,102.0,21.0,98.0,89.0,107.0,105.0,,86.714,14.0
新潟,1,14,テトラード,マインドユアビスケッツ,110.0,99.0,72.0,105.0,102.0,104.0,96.0,,98.286,5.0
新潟,2,1,ラグナトーレ,オルフェーヴル,109.0,103.0,99.0,104.0,103.0,101.0,112.0,103.0,104.25,5.0
新潟,2,2,アンデルマット,ルヴァンスレーヴ,40.0,90.0,106.0,114.0,82.0,,,,86.4,14.0
