場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,6,ヴァンデスペランス,3歳,ゴンサル,中舘英二,短距離,左回り,,ドレフォン,,距離短縮,1,B
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,7,ブッチギレ,3歳,丹内祐次,栗田徹,短距離,左回り,,マジェスティックウォリアー,休明3走,距離短縮,13,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,8,ウインルナロッサ,3歳,遠藤汰月,清水英克,短距離,左回り,,インディチャンプ,,距離短縮,15,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,9,ベアブルージュ,3歳,木幡巧也,千葉直人,短距離,左回り,,リアルスティール,,,9,D
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,10,ベネファクター,3歳,原優介,斎藤誠,短距離,左回り,,サートゥルナーリア,,距離短縮,12,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,11,スミレノハナ,3歳,上里直汰,加藤和宏,短距離,左回り,,ブラックタイド,休明2走,,16,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,12,フェスティヴハート,3歳,柴田大知,畠山吉宏,短距離,左回り,,アジアエクスプレス,休明2走,距離延長,11,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,13,ゴットタレント,3歳,杉原誠人,田村康仁,短距離,左回り,,ダノンプレミアム,休明初戦,,7,D
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,14,アドマイヤウルトラ,3歳,ディー,宮田敬介,短距離,左回り,,リオンディーズ,休明2走,距離短縮,4,C
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,15,モンスターラッシュ,3歳,石川裕紀,高木登,短距離,左回り,,クリソベリル,休明初戦,,6,D
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,16,ヘヴンリーサイン,3歳,石神深道,深山雅史,短距離,左回り,,エポカドーロ,,距離短縮,14,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,1,ヤマニンルーバス,3歳,横山典弘,村田一誠,短距離,左回り,,ブラックタイド,,,9,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,2,ラウターユーベル,3歳,小林脩斗,青木孝文,短距離,左回り,,ミッキーグローリー,休明3走,距離短縮,8,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,3,クインズサクラ,3歳,遠藤汰月,奥平雅士,短距離,左回り,,カレンブラックヒル,休明初戦,,17,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,4,フューチャプライム,3歳,津村明秀,相沢郁,短距離,左回り,,サートゥルナーリア,休明初戦,距離短縮,6,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,5,ウインアプローチ,3歳,松岡正海,畠山吉宏,短距離,左回り,,ウインブライト,休明2走,,1,B
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,6,シンクシビリティ,3歳,長浜鴻緒,青木孝文,短距離,左回り,,ミスチヴィアスアレックス,連闘,距離延長,16,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,7,セリエンクーニゲン,3歳,戸崎圭太,田中博康,短距離,左回り,,Kingman,休明2走,,4,C
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,8,ウッケン,3歳,上里直汰,松山将樹,短距離,左回り,,イスラボニータ,休明2走,距離延長,15,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,9,メイアイリス,3歳,石神深道,深山雅史,短距離,左回り,,クリソベリル,,距離延長,14,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,10,スチールギターラグ,3歳,三浦皇成,鹿戸雄一,短距離,左回り,,エピファネイア,,距離短縮,2,B
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,11,フォーエバーラブ,3歳,柴田大知,金成貴史,短距離,左回り,,ミスターメロディ,,距離短縮,7,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,12,トランスマーレ,3歳,横山武史,高柳瑞樹,短距離,左回り,,エピファネイア,休明2走,距離短縮,3,B
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,13,ヤマカンドリーミン,3歳,ゴンサル,和田勇介,短距離,左回り,,ファインニードル,連闘,距離延長,10,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,14,ルシアージュ,3歳,丸山元気,高柳瑞樹,短距離,左回り,,コントレイル,休明3走,距離短縮,5,D
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,15,ルージュダズリング,3歳,横山琉人,斎藤誠,短距離,左回り,,キタサンブラック,休明3走,距離短縮,12,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,16,ゴールドフリーダム,3歳,原優介,青木孝文,短距離,左回り,,ゴールドアクター,,距離短縮,13,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,17,キャリアビジョン,3歳,菊沢一樹,西田雄一,短距離,左回り,,シスキン,休明2走,距離短縮,11,E
東京,4,未勝利,芝,1600,良(暫定),Lv4 ,18,トウシンライオット,3歳,石田拓郎,尾形和幸,短距離,左回り,,フィレンツェファイア,,距離延長,18,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,1,モズタンケ,3歳,ゴンサル,栗田徹,短距離,左回り,,モズアスコット,,距離延長,3,B
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,2,マジェステラ,3歳,松山弘平,千葉直人,短距離,左回り,,ディーマジェスティ,,距離延長,6,D
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,3,マーガレットクレア,3歳,原優介,黒岩陽一,短距離,左回り,,ミスチヴィアスアレックス,休明3走,,10,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,4,トヨサカエ,3歳,吉田豊,高橋文雅,短距離,左回り,,ディーマジェスティ,,,4,B
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,5,エコロバロン,3歳,菊沢一樹,菊沢隆徳,短距離,左回り,,フォーウィールドライブ,,距離延長,7,D
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,6,ムテキシャチョウ,3歳,川田将雅,森秀行,短距離,左回り,,Beau Liam,,,1,B
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,7,ソニックブレイカー,3歳,横山武史,稲垣幸雄,短距離,左回り,,モーリス,,距離延長,2,B
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,8,ウレシイゴサン,3歳,柴田大知,伊藤大士,短距離,左回り,,ベンバトル,連闘,距離延長,11,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,9,ヴェネチアンキング,3歳,丹内祐次,伊藤圭三,短距離,左回り,,マジェスティックウォリアー,,距離短縮,9,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,10,シュテルン,3歳,谷原柚希,和田雄二,短距離,左回り,,ヘニーヒューズ,,距離延長,13,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,11,スーパーガール,3歳,佐藤翔馬,伊藤圭三,短距離,左回り,,ドレフォン,休明2走,,8,D
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,12,ゴーゴーパンチ,3歳,石田拓郎,天間昭一,短距離,左回り,,タリスマニック,,距離延長,12,E
東京,5,自己条件,ダート,1400,良(暫定),Lv2 ,13,カセノアステリア,3歳,津村明秀,鈴木伸尋,短距離,左回り,,モズアスコット,休明初戦,,5,D
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,1,スターチスブーケ,5歳以上,菊沢一樹,田中勝春,中距離,左回り,,Practical Joke,,距離延長,10,E
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,2,チャイボーグ,5歳以上,佐藤翔馬,的場均,中距離,左回り,,シャンハイボビー,連闘,,9,E
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,3,ゴガツノアマノガワ,4歳,石橋脩,清水英克,中距離,左回り,,ガルボ,休明3走,,6,D
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,4,ゴーゴータカシ,4歳,石神深道,武井亮,中距離,左回り,,モーリス,,,4,C
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,5,コスモグラニット,4歳,丹内祐次,清水英克,中距離,左回り,,キタサンブラック,休明初戦,距離短縮,5,D
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,6,セイロンジェムズ,5歳以上,レーン,鈴木慎太,中距離,左回り,,レイデオロ,休明初戦,,1,B
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,7,キョウエイグッド,4歳,木幡巧也,千葉直人,中距離,左回り,,トーセンラー,連闘,,7,D
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,8,ポッドロルフ,4歳,荻野極,小野次郎,中距離,左回り,,モズアスコット,,距離延長,2,B
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,9,トクシージェネラル,5歳以上,横山琉人,辻哲英,中距離,左回り,,Omaha Beach,休明2走,距離延長,8,E
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,10,シェーンシュティア,4歳,杉原誠人,林徹,中距離,左回り,,ブリックスアンドモルタル,休明3走,,3,B
東京,6,自己条件,芝,1800,良(暫定),Lv2 ,11,ガールネクストドア,4歳,嶋田純次,佐藤吉勝,中距離,左回り,,カリフォルニアクローム,休明2走,距離延長,11,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,1,パシーヴ,4歳,三浦皇成,上原博之,短距離,左回り,,ニューイヤーズデイ,,距離延長,8,D
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,2,シュレン,4歳,菊沢一樹,千葉直人,短距離,左回り,,ディーマジェスティ,休明3走,距離延長,6,C
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,3,イラーナ,5歳以上,石神深道,林徹,短距離,左回り,,Palace Malice,休明初戦,距離延長,15,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,4,ショウナンタハティ,4歳,津村明秀,中舘英二,短距離,左回り,,ドレフォン,,,5,C
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,5,マックスキュー,4歳,ルメール,鹿戸雄一,短距離,左回り,,サートゥルナーリア,休明初戦,距離延長,2,B
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,6,セイラダンサー,4歳,舟山瑠泉,尾関知人,短距離,左回り,,レッドファルクス,休明初戦,距離短縮,13,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,7,アルプスオジョー,5歳以上,横山琉人,手塚貴徳,短距離,左回り,,パイロ,休明初戦,距離短縮,12,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,8,ペロ,5歳以上,丸山元気,浅利英明,短距離,左回り,,シルバーステート,休明初戦,距離短縮,11,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,9,クニノハッピー,4歳,ゴンサル,田中剛,短距離,左回り,,ヘニーヒューズ,休明3走,距離短縮,7,D
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,10,シュヴァルム,4歳,菅原明良,尾関知人,短距離,左回り,,ルヴァンスレーヴ,休明2走,,10,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,11,ヘインズポイント,5歳以上,レーン,高木登,短距離,左回り,,モーリス,休明初戦,,1,B
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,12,イズルード,4歳,長浜鴻緒,田島俊明,短距離,左回り,,イスラボニータ,休明初戦,距離延長,16,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,13,フォースミラクル,4歳,戸崎圭太,加藤征弘,短距離,左回り,,ジャスタウェイ,休明初戦,,3,C
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,14,バスターコール,5歳以上,北村宏司,田村康仁,短距離,左回り,,ルーラーシップ,休明2走,距離延長,14,E
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,15,レイクストライプス,4歳,ディー,大竹正博,短距離,左回り,,American Pharoah,休明初戦,距離短縮,4,C
東京,7,自己条件,ダート,1400,良(暫定),Lv3 ,16,ボナーテソーロ,5歳以上,石橋脩,牧光二,短距離,左回り,,Nathaniel,,距離延長,9,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,1,アスクデッドヒート,4歳,古川奈穂,矢作芳人,長距離,左回り,,ルーラーシップ,,,5,C
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,2,ティムール,5歳以上,三浦皇成,中竹和也,長距離,左回り,,キズナ,,,6,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,3,バンフィエルド,5歳以上,柴田大知,粕谷昌央,長距離,左回り,,オルフェーヴル,,距離延長,13,E
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,4,ジオセントリック,5歳以上,レーン,手塚貴久,長距離,左回り,,ハービンジャー,休明2走,距離延長,2,B
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,5,ダノンカゼルタ,4歳,西村淳也,寺島良,長距離,左回り,,サートゥルナーリア,,距離延長,7,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,6,ノラリクラリ,4歳,松山弘平,藤岡健一,長距離,左回り,,シュヴァルグラン,,,4,C
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,7,アバンデル,5歳以上,佐々木大,金成貴史,長距離,左回り,,ワールドエース,休明初戦,,8,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,8,スピンザブラッド,5歳以上,戸崎圭太,大竹正博,長距離,左回り,,ブリックスアンドモルタル,休明3走,距離延長,10,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,9,ビップチェイス,5歳以上,杉原誠人,田島俊明,長距離,左回り,,アルアイン,,,14,E
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,10,プリズマジコ,5歳以上,横山琉人,高橋義忠,長距離,左回り,,キズナ,休明初戦,距離延長,11,D
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,11,アロンズロッド,4歳,ルメール,宮田敬介,長距離,左回り,,エピファネイア,休明3走,,1,B
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,12,オールマイデイズ,5歳以上,荻野極,矢嶋大樹,長距離,左回り,,リアルスティール,休明初戦,距離短縮,12,E
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,13,サトノパトリオット,4歳,川田将雅,木村哲也,長距離,左回り,,レイデオロ,休明初戦,,3,C
東京,8,自己条件,芝,2400,良(暫定),Lv3 ,14,ショウナンガチ,5歳以上,ゴンサル,須貝尚介,長距離,左回り,,ドゥラメンテ,休明初戦,距離短縮,9,D
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,1,アルゴナヴィス,5歳以上,津村明秀,池江泰寿,短距離,左回り,,ドゥラメンテ,,距離短縮,8,D
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,2,ヘルモーズ,5歳以上,北村友一,小林真也,短距離,左回り,,モーリス,休明初戦,距離短縮,12,E
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,3,ガンウルフ,5歳以上,丹内祐次,藤岡健一,短距離,左回り,,Gun Runner,,距離延長,9,D
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,4,ジョディーズマロン,5歳以上,横山典弘,北出成人,短距離,左回り,,ディスクリートキャット,,距離延長,6,D
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,5,レッドラパルマ,5歳以上,ゴンサル,平岩大典,短距離,左回り,,イスラボニータ,休明2走,距離短縮,14,E
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,6,ダノンスウィッチ,5歳以上,浜中俊,東田明士,短距離,左回り,,American Pharoah,休明2走,距離延長,10,E
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,7,アデランテ,5歳以上,佐々木大,菊川正達,短距離,左回り,,ミッキーグローリー,休明初戦,,7,D
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,8,クァンタムウェーブ,4歳,西村淳也,松永幹夫,短距離,左回り,,ナダル,休明初戦,距離短縮,5,C
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,9,サムシャイン,4歳,横山和生,鈴木慎太,短距離,左回り,,ルヴァンスレーヴ,,距離短縮,4,C
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,10,ユキノロイヤル,5歳以上,石橋脩,小野次郎,短距離,左回り,,ディーマジェスティ,休明初戦,,13,E
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,11,ヴァンドーム,5歳以上,大野拓弥,安田翔伍,短距離,左回り,,ロードカナロア,,距離短縮,3,C
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,12,モズマーヴェリック,5歳以上,舟山瑠泉,牧浦充徳,短距離,左回り,,リアルスティール,休明2走,距離短縮,15,E
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,13,セギレエルビエント,4歳,荻野極,伊坂重信,短距離,左回り,,ナダル,休明3走,,2,B
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,14,メイショウハチロー,4歳,川田将雅,福永祐一,短距離,左回り,,シニスターミニスター,休明2走,距離延長,1,B
東京,9,自己条件,ダート,1600,良(暫定),Lv5 ,15,ホルトバージ,5歳以上,菅原明良,柴田卓,短距離,左回り,,キンシャサノキセキ,,距離短縮,11,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,1,スパークリシャール,5歳以上,吉田豊,小島茂之,中距離,左回り,,スワーヴリチャード,,距離短縮,13,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,2,ガジュノリ,5歳以上,丹内祐次,尾形和幸,中距離,左回り,,サトノダイヤモンド,,,12,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,3,テウメッサ,5歳以上,杉原誠人,金成貴史,中距離,左回り,,ハービンジャー,,距離延長,16,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,4,クリニクラウン,5歳以上,大野拓弥,小手川準,中距離,左回り,,トビーズコーナー,休明3走,距離延長,9,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,5,キュクヌス,5歳以上,荻野極,池江泰寿,中距離,左回り,,Saxon Warrior,,距離短縮,7,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,6,ドットクルー,5歳以上,戸崎圭太,笹田和秀,中距離,左回り,,ディーマジェスティ,休明初戦,距離短縮,10,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,7,ゲンパチムサシ,5歳以上,丸山元気,秋本大介,中距離,左回り,,ドゥラメンテ,休明初戦,,17,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,8,キングメーカー,4歳,横山武史,須貝尚介,中距離,左回り,,スワーヴリチャード,休明3走,距離延長,6,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,9,ダンツファイター,4歳,佐々木大,蛯名正義,中距離,左回り,,ニューイヤーズデイ,休明2走,距離短縮,8,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,10,ジャサルディア,4歳,ルメール,大竹正博,中距離,左回り,,キズナ,休明3走,距離延長,1,A
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,11,ロジマンボ,5歳以上,松岡正海,古賀慎明,中距離,左回り,,ドゥラメンテ,休明初戦,距離短縮,18,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,12,レイニング,4歳,レーン,森一誠,中距離,左回り,,サートゥルナーリア,休明3走,,2,B
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,13,テンミラクルスター,4歳,武豊,辻哲英,中距離,左回り,,エピファネイア,休明初戦,距離短縮,4,C
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,14,ソルトブリーズ,5歳以上,横山琉人,田中剛,中距離,左回り,,アドマイヤムーン,休明2走,,11,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,15,マイネルフルムーン,4歳,津村明秀,吉田直弘,中距離,左回り,,ウインブライト,,,14,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,16,ミスタージーティー,5歳以上,坂井瑠星,矢作芳人,中距離,左回り,,ドゥラメンテ,休明3走,距離短縮,5,D
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,17,テーオーダグラス,5歳以上,ゴンサル,須貝尚介,中距離,左回り,,リアルスティール,休明3走,,15,E
東京,10,自己条件,芝,1800,良(暫定),Lv5 ,18,レディーミコノス,4歳,松山弘平,寺島良,中距離,左回り,,Le Havre,,,3,C
東京,11,重賞,芝,2400,良(暫定),Lv5 ,1,ライヒスアドラー,3歳,佐々木大,上原佑紀,長距離,左回り,,シスキン,休明3走,距離延長,5,C
東京,11,重賞,芝,2400,良(暫定),Lv5 ,2,マテンロウゲイル,3歳,横山和生,野中賢二,長距離,左回り,,エピファネイア,,距離延長,13,E
東京,11,重賞,芝,2400,良(暫定),Lv5 ,3,ケントン,3歳,丹内祐次,田島俊明,長距離,左回り,,リアルスティール,休明3走,,17,E
東京,11,重賞,芝,2400,良(暫定),Lv5 ,4,アルトラムス,3歳,横山武史,野中賢二,長距離,左回り,,イスラボニータ,休明3走,距離延長,15,E
東京,11,重賞,芝,2400,良(暫定),Lv5 ,5,バステール,3歳,川田将雅,斉藤崇史,長距離,左回り,,キタサンブラック,休明3走,距離延長,8,D
東京,11,重賞,芝,2400,良(暫定),Lv5 ,6,コンジェスタス,3歳,西村淳也,高野友和,長距離,左回り,,コントレイル,休明2走,距離延長,6,C
