場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,1,ベアエクスプレス,3歳,松岡正海,柄崎将寿,短距離,左回り,,アジアエクスプレス,,,13,E
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,2,アーティラリー,3歳,ゴンサル,松山将樹,短距離,左回り,,ホッコータルマエ,,距離短縮,5,C
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,3,レディソフィア,3歳,舟山瑠泉,小笠倫弘,短距離,左回り,,ニューイヤーズデイ,,,9,D
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,4,トラストレガート,3歳,菅原明良,高橋文雅,短距離,左回り,,マクフィ,,,7,D
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,5,エリカビアリッツ,3歳,レーン,堀宣行,短距離,左回り,,キズナ,休明2走,,1,A
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,6,フローレスカラーズ,3歳,佐藤翔馬,高木登,短距離,左回り,,ダノンレジェンド,休明初戦,距離短縮,10,D
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,7,キミガハマ,3歳,丹内祐次,嘉藤貴行,短距離,左回り,,ディーマジェスティ,休明3走,,8,D
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,8,パレホ,3歳,横山琉人,中川公成,短距離,左回り,,スワーヴリチャード,,距離短縮,12,E
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,9,エフハリスト,3歳,横山和生,奥村武,短距離,左回り,,ロードカナロア,,,2,B
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,10,ヤマニンジェンナ,3歳,野中悠太,秋本大介,短距離,左回り,,ストロングリターン,,,16,E
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,11,サマースプラッシュ,3歳,菊沢一樹,石栗龍彦,短距離,左回り,,アポロケンタッキー,休明3走,,14,E
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,12,カスターニエ,3歳,原優介,伊藤圭三,短距離,左回り,,オルフェーヴル,,距離短縮,15,E
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,13,ミツカネルナ,3歳,小林美駒,鈴木伸尋,短距離,左回り,,ミッキーロケット,休明初戦,距離延長,11,D
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,14,バーヴァンシー,3歳,戸崎圭太,村田一誠,短距離,左回り,,リオンリオン,休明3走,,4,C
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,15,フレアリングベリー,3歳,北村宏司,池上昌和,短距離,左回り,,ポエティックフレア,休明2走,,3,C
東京,1,未勝利,ダート,1600,良(暫定),Lv2 ,16,ユーゲットミー,3歳,柴田大知,西田雄一,短距離,左回り,,ダノンバラード,休明3走,,6,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,1,ユニバーサルラヴ,3歳,佐々木大,尾関知人,短距離,左回り,,ミスチヴィアスアレックス,休明2走,距離延長,8,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,2,ジャメビュ,3歳,遠藤汰月,佐藤吉勝,短距離,左回り,,ダノンレジェンド,,距離延長,6,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,3,セイカユウヒ,3歳,丹内祐次,石栗龍彦,短距離,左回り,,グレーターロンドン,,距離短縮,9,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,4,キリミツ,3歳,石橋脩,勢司和浩,短距離,左回り,,ルヴァンスレーヴ,休明2走,距離短縮,2,B
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,5,グランマエストロ,3歳,ルメール,木村哲也,短距離,左回り,,エピファネイア,,,1,A
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,6,トワイライトビュー,3歳,原優介,中川公成,短距離,左回り,,アジアエクスプレス,休明3走,距離短縮,4,C
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,7,ピュアクローム,3歳,吉田豊,小手川準,短距離,左回り,,カリフォルニアクローム,休明2走,距離延長,5,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,8,カテドラルクォーツ,3歳,菊沢一樹,菊沢隆徳,短距離,左回り,,ブリックスアンドモルタル,,距離短縮,11,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,9,ショウナンタヅナ,3歳,津村明秀,武市康男,短距離,左回り,,ドレフォン,休明初戦,距離延長,10,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,10,テラシエスタ,3歳,木幡巧也,黒岩陽一,短距離,左回り,,ジャスタウェイ,休明初戦,,12,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,11,ホウオウライセンス,3歳,横山武史,稲垣幸雄,短距離,左回り,,マインドユアビスケッツ,,距離短縮,7,D
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,12,ビーストウォーズ,3歳,舟山瑠泉,松山将樹,短距離,左回り,,アニマルキングダム,休明初戦,距離短縮,15,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,13,ミラビリオン,3歳,ゴンサル,伊坂重信,短距離,左回り,,ベンバトル,,距離延長,3,C
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,14,セランディア,3歳,大久保友,小野次郎,短距離,左回り,,ベンバトル,,距離延長,16,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,15,タイヨウノユビワ,3歳,横山琉人,小島茂之,短距離,左回り,,モズアスコット,休明初戦,距離短縮,14,E
東京,2,未勝利,ダート,1400,良(暫定),Lv2 ,16,ゴールデンボート,3歳,江田照男,矢野英一,短距離,左回り,,ゴールドシップ,休明2走,距離短縮,13,E
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,1,ピードモント,3歳,岩田康誠,武井亮,短距離,左回り,,キズナ,休明3走,距離短縮,2,B
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,2,ブレイブシュガー,3歳,吉田豊,高橋文雅,短距離,左回り,,ミスチヴィアスアレックス,休明3走,距離延長,8,D
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,3,ティブロン,3歳,横山琉人,矢嶋大樹,短距離,左回り,,リオンディーズ,,距離短縮,10,D
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,4,カシマライフウ,3歳,松岡正海,伊藤伸一,短距離,左回り,,シュヴァルグラン,休明3走,,3,C
東京,3,未勝利,ダート,1600,良(暫定),Lv3 ,5,エッチェレンテ,3歳,三浦皇成,鹿戸雄一,短距離,左回り,,リアルスティール,休明初戦,,5,D
