場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
新潟,1,1,ゼルノードゥス,レイデオロ,767.0,44.0,-284.0,1242.0,-1787.0,1616.0,-1258.0,,340.0,3.0
新潟,1,2,マーゴットクリュグ,ゴールドドリーム,-113.0,-1060.0,-384.0,-564.0,1008.0,-1051.0,-447.0,,-2611.0,6.0
新潟,1,3,スマイルガーデン,ナダル,-311.0,-285.0,1035.0,-380.0,443.0,-435.0,,,67.0,4.0
新潟,1,4,セラサイト,クリソベリル,,,,,,,,,,
新潟,1,5,キョウエイハル,トランセンド,-455.0,302.0,-35.0,-162.0,-275.0,-162.0,-48.0,,-835.0,5.0
新潟,1,6,ガーネットテソーロ,シルバーステート,-810.0,-2175.0,-4781.0,-474.0,-864.0,-1360.0,-673.0,,-11137.0,8.0
新潟,1,7,ティナンヴァランタ,ニューイヤーズデイ,778.0,-354.0,-123.0,281.0,119.0,1166.0,-1339.0,,528.0,2.0
新潟,1,8,アルティソナンテ,ダノンキングリー,,,,,,,,,,
新潟,1,9,ノリチャンボウルズ,バゴ,-462.0,-2134.0,-150.0,-767.0,-993.0,-832.0,-1176.0,,-6514.0,7.0
新潟,1,10,カワキタスズリノ,キセキ,,,,,,,,,,
新潟,1,11,ドナソール,マテラスカイ,,,,,,,,,,
新潟,1,12,ルーン,クリソベリル,,,,,,,,,,
新潟,1,13,ブリスフルイヤー,ニューイヤーズデイ,778.0,-354.0,-123.0,281.0,119.0,1166.0,,,1867.0,1.0
新潟,2,1,エイシンティザー,モズアスコット,254.0,616.0,1176.0,2176.0,906.0,851.0,557.0,,6536.0,2.0
新潟,2,2,カラーオブサクセス,ゴールドドリーム,-113.0,-1060.0,-315.0,-564.0,-2512.0,-1051.0,,,-5615.0,9.0
新潟,2,3,アンジュプロミス,ドレフォン,-73.0,2712.0,-1151.0,-187.0,2133.0,1854.0,,,5288.0,3.0
新潟,2,4,スカイピア,Palace Pier,,,,,,,,,,
新潟,2,5,グランフォワイエ,ロゴタイプ,179.0,-1977.0,-879.0,-516.0,-1801.0,-771.0,12.0,,-5753.0,10.0
新潟,2,6,ドナベーネ,インディチャンプ,,,,,,,,,,
新潟,2,7,ミスターマーボー,シュヴァルグラン,1183.0,-2386.0,-221.0,-663.0,-955.0,-142.0,,,-3184.0,7.0
新潟,2,8,アスミル,ダノンプレミアム,,,,,,,,,,
新潟,2,9,ベルバード,スワーヴリチャード,125.0,145.0,-1019.0,-181.0,-3067.0,-291.0,-224.0,,-4512.0,8.0
新潟,2,10,ブランチアウト,ブリックスアンドモルタル,182.0,-621.0,1704.0,-193.0,66.0,1767.0,,,2905.0,5.0
新潟,2,11,ジャスフォール,マクフィ,363.0,-286.0,286.0,695.0,-513.0,-265.0,,,280.0,6.0
新潟,2,12,ゴールドパレード,ゴールドアクター,720.0,621.0,1736.0,808.0,-190.0,650.0,393.0,,4738.0,4.0
新潟,2,13,スマイルカーブ,キズナ,312.0,1802.0,4251.0,1194.0,-331.0,1572.0,54.0,,8854.0,1.0
新潟,3,1,ユイノディスタンス,クリソベリル,,,,,,,,,,
新潟,3,2,ビップルーク,エイシンフラッシュ,-810.0,-643.0,-1122.0,-1153.0,-936.0,-1831.0,,-338.0,-6833.0,6.0
新潟,3,3,ディアギレフ,モーリス,-758.0,-5.0,-2250.0,-235.0,-333.0,-1372.0,,-309.0,-5262.0,5.0
新潟,3,4,マッドゲイル,ルヴァンスレーヴ,-785.0,-957.0,891.0,2380.0,1137.0,-1038.0,-611.0,-291.0,726.0,3.0
