場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
京都,4,9,マテンロウナイト,モーリス,2212.0,818.0,,,,,,,3030.0,1.0
京都,4,10,フジフォンテ,ロージズインメイ,64.0,320.0,,,,,,,384.0,4.0
京都,4,11,カイトレッド,ゴールドヘイロー,,,,,,,,,,
京都,4,12,グラヴィテ,ネオユニヴァース,118.0,-580.0,,,,,,,-462.0,8.0
京都,4,13,テイエムエメラルド,ロードカナロア,-2344.0,-1026.0,,,,,,,-3370.0,11.0
京都,5,1,リケアアッサム,モズアスコット,,,,,,,,,,
京都,5,2,ワンダーエルピス,ノーブルミッション,,,,,,,,,,
京都,5,3,エンチャントリバー,サトノクラウン,3504.0,774.0,-2563.0,-618.0,-342.0,-1458.0,,,-703.0,5.0
京都,5,4,ジーティーエスピ,ドゥラメンテ,367.0,544.0,1782.0,-22.0,-2129.0,1079.0,,,1621.0,1.0
京都,5,5,スパニッシュソング,ドゥラメンテ,367.0,544.0,1782.0,-22.0,-2129.0,1079.0,,,1621.0,1.0
京都,5,6,ハーイバービー,サトノアラジン,-187.0,-31.0,-829.0,-854.0,-830.0,-369.0,,,-3100.0,6.0
京都,5,7,ランスオブカオス,シルバーステート,-363.0,842.0,1834.0,-109.0,-954.0,-1198.0,,,52.0,4.0
京都,5,8,パヴィーア,Medaglia d'Oro,,,,,,,,,,
京都,5,9,サウンドルーチェ,ミッキーアイル,691.0,-884.0,1131.0,153.0,-625.0,913.0,,,1379.0,3.0
京都,6,1,タイセイバンクール,サンダースノー,-1839.0,-1517.0,-469.0,-2184.0,-1491.0,-1605.0,,,-9105.0,6.0
京都,6,2,クラヴィウス,マクフィ,-414.0,120.0,-123.0,277.0,-137.0,-317.0,,,-594.0,3.0
京都,6,3,エルピーゾ,エスポワールシチー,706.0,575.0,2209.0,860.0,769.0,1214.0,,,6333.0,1.0
京都,6,4,ニホンピロカミーノ,ジャスタウェイ,-1677.0,-564.0,-485.0,-795.0,-775.0,-195.0,,,-4491.0,5.0
京都,6,5,ジンガブリッツ,オルフェーヴル,-338.0,-660.0,87.0,-2191.0,1056.0,1442.0,,,-604.0,4.0
京都,6,6,ソニックステップ,ドレフォン,1357.0,-1417.0,2830.0,-825.0,577.0,1673.0,,,4195.0,2.0
京都,6,7,シュドゥン,ルヴァンスレーヴ,,,,,,,,,,
京都,7,1,ソアラ,ヤマカツエース,186.0,-593.0,-96.0,579.0,-103.0,,,,-27.0,8.0
京都,7,2,ピリー,スクリーンヒーロー,564.0,2092.0,663.0,2381.0,1501.0,1698.0,964.0,,9863.0,2.0
京都,7,3,エピファドール,エピファネイア,-955.0,-6674.0,-3768.0,-3413.0,-4602.0,-5094.0,,,-24506.0,13.0
京都,7,4,アイスリンディ,カリフォルニアクローム,-1468.0,973.0,1367.0,718.0,-17.0,-153.0,,,1420.0,6.0
京都,7,5,セットリスト,キタサンブラック,949.0,-1041.0,-121.0,456.0,-2252.0,1492.0,,,-517.0,9.0
京都,7,6,ランスオブセヘル,サトノアラジン,-187.0,376.0,-1185.0,-633.0,-830.0,-369.0,-1907.0,,-4735.0,10.0
京都,7,7,カルネヴァーレ,ダノンレジェンド,1754.0,1050.0,4340.0,878.0,2187.0,2657.0,1346.0,,14212.0,1.0
京都,7,8,ディアマンドロップ,ブラックタイド,-279.0,-421.0,1439.0,114.0,-471.0,624.0,233.0,,1239.0,7.0
