場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
札幌,1,1,レッドファイブ,松本大輝,157.0,102.0,103.0,93.0,106.0,,112.2,1.0
札幌,1,2,ブラックジャック,ティータ,,,,,,,,
札幌,1,3,ハグレジョー,池添謙一,107.0,102.0,98.0,103.0,98.0,,101.6,6.0
札幌,1,4,イッスンボウシ,和田陽希,,,,,,,,
札幌,1,5,リフレックス,柴田裕一,91.0,96.0,72.0,82.0,,,85.25,9.0
札幌,1,6,ウルヴァリン,松岡正海,152.0,102.0,88.0,98.0,104.0,,108.8,2.0
札幌,1,7,マーゴットサンズ,本田正重,,,,,,,,
札幌,1,8,リピース,小林美駒,90.0,90.0,97.0,96.0,,,93.25,8.0
札幌,1,9,ティブロン,北村友一,122.0,108.0,100.0,102.0,105.0,,107.4,3.0
札幌,1,10,ロードベルファスト,ウィリア,,,,,,,,
札幌,1,11,ユニゾン,丹内祐次,112.0,102.0,100.0,107.0,104.0,,105.0,5.0
札幌,1,12,グレーヌドジョワ,松山弘平,131.0,99.0,102.0,99.0,98.0,,105.8,4.0
札幌,1,13,ミヤエスケープ,横山武史,98.0,100.0,92.0,97.0,98.0,,97.0,7.0
札幌,1,14,エクストラプッシュ,バデル　,,,,,,,,
札幌,2,1,オッハッピー,鷲頭虎太,88.0,104.0,105.0,113.0,108.0,,103.6,3.0
札幌,2,2,ウインロズパレード,ウィリア,,,,,,,,
札幌,2,3,シャルムグリーン,丹内祐次,112.0,102.0,107.0,98.0,104.0,,104.6,2.0
札幌,2,4,ロイヤルスパイア,ルメール,93.0,95.0,100.0,97.0,96.0,,96.2,6.0
札幌,2,5,オンマイビート,荻野琢真,98.0,125.0,122.0,130.0,112.0,,117.4,1.0
札幌,2,6,スカイピア,小林美駒,90.0,102.0,94.0,96.0,,,95.5,7.0
札幌,2,7,レッドスティンガー,横山武史,98.0,100.0,100.0,95.0,98.0,,98.2,5.0
札幌,2,8,ニシノガンリキ,舟山瑠泉,,,,,,,,
札幌,2,9,ルーセントムーン,本田正重,,,,,,,,
札幌,2,10,マルモリラピダス,ハマーハ,,,,,,,,
札幌,2,11,スミッコディスコ,横山和生,103.0,96.0,102.0,100.0,106.0,,101.4,4.0
札幌,2,12,アニマレイ,ティータ,,,,,,,,
札幌,3,1,デルマアリエル,ゴンサル,,,,,,,,
札幌,3,2,カリビアンブルー,松本大輝,157.0,102.0,103.0,93.0,106.0,,112.2,1.0
札幌,3,3,デルマサターン,舟山瑠泉,,,,,,,,
札幌,3,4,ビービーバザーク,武豊　　,97.0,95.0,100.0,97.0,98.0,,97.4,8.0
札幌,3,5,テンフレッシュ,黛弘人　,112.0,108.0,110.0,108.0,109.0,,109.4,2.0
札幌,3,6,オースミストロング,北村友一,122.0,108.0,100.0,102.0,105.0,,107.4,3.0
札幌,3,7,オキョンピー,横山武史,98.0,100.0,92.0,97.0,98.0,,97.0,9.0
札幌,3,8,ロイヤルテール,和田陽希,,,,,,,,
札幌,3,9,サザンブラック,橋木太希,88.0,80.0,44.0,55.0,,,66.75,10.0
札幌,3,10,ジョードリウム,丹内祐次,112.0,102.0,100.0,107.0,104.0,,105.0,5.0
札幌,3,11,ブルームノーズ,松山弘平,131.0,99.0,102.0,99.0,98.0,,105.8,4.0
札幌,3,12,ディアマント,鷲頭虎太,88.0,104.0,107.0,101.0,108.0,,101.6,6.0
札幌,3,13,プレスジャンケット,バデル　,,,,,,,,
札幌,3,14,エンジョイドライブ,古川吉洋,102.0,103.0,94.0,104.0,101.0,,100.8,7.0
札幌,4,1,スペースリーガ,黛弘人　,112.0,108.0,102.0,123.0,109.0,,110.8,2.0
札幌,4,2,ベイビーベリッシモ,本田正重,,,,,,,,
札幌,4,3,デアルーチェ,ゴンサル,,,,,,,,
札幌,4,4,シャインフリーリー,丹内祐次,112.0,102.0,107.0,111.0,104.0,,107.2,3.0
札幌,4,5,キングズトゥルー,池添謙一,107.0,102.0,101.0,100.0,98.0,,101.6,6.0
札幌,4,6,モアサナイト,松本大輝,157.0,102.0,92.0,124.0,106.0,,116.2,1.0
札幌,4,7,ガスパール,ティータ,,,,,,,,
札幌,4,8,シオーグ,柴田裕一,91.0,69.0,74.0,82.0,,,79.0,10.0
札幌,4,9,ドラギニャン,佐々木大,98.0,102.0,103.0,96.0,104.0,,100.6,7.0
札幌,4,10,レイデラティエラ,坂井瑠星,107.0,106.0,102.0,110.0,103.0,,105.6,4.0
札幌,4,11,ポテチ,武豊　　,97.0,95.0,95.0,104.0,98.0,,97.8,9.0
札幌,4,12,ブリリアントカーラ,バデル　,,,,,,,,
札幌,4,13,ジャスティンアロー,松山弘平,131.0,99.0,95.0,91.0,98.0,,102.8,5.0
札幌,4,14,ヤマニンヒストリア,ルメール,93.0,95.0,100.0,114.0,96.0,,99.6,8.0
札幌,5,1,ミスティックレナン,北村友一,122.0,100.0,102.0,102.0,105.0,,106.2,1.0
札幌,5,2,ブライトラン,丹内祐次,112.0,79.0,107.0,107.0,104.0,,101.8,3.0
札幌,5,3,リスレジャンデール,ルメール,93.0,97.0,100.0,99.0,96.0,,97.0,6.0
札幌,5,4,エーデルゼーレ,ティータ,,,,,,,,
札幌,5,5,リケアラザニア,舟山瑠泉,,,,,,,,
札幌,5,6,ウンボイクザーム,本田正重,,,,,,,,
札幌,5,7,シデンイッセン,横山和生,103.0,109.0,102.0,104.0,106.0,,104.8,2.0
札幌,5,8,ウインベルチェーロ,横山武史,98.0,96.0,100.0,97.0,98.0,,97.8,4.0
札幌,5,9,ガロアモジュール,戸崎圭太,94.0,93.0,100.0,99.0,101.0,,97.4,5.0
札幌,5,10,コレデヨカロウ,川又賢治,87.0,72.0,98.0,86.0,95.0,,87.6,8.0
札幌,5,11,フクチャンブラック,武豊　　,97.0,93.0,95.0,97.0,98.0,,96.0,7.0
札幌,6,1,アレクレア,古川奈穂,67.0,89.0,91.0,91.0,92.0,,86.0,12.0
札幌,6,2,セガンティーニ,松山弘平,131.0,99.0,95.0,99.0,98.0,,104.4,6.0
札幌,6,3,フィリグラン,ウィリア,,,,,,,,
札幌,6,4,シルシ,森田誠也,,,,,,,,
札幌,6,5,レフィナード,横山和生,103.0,96.0,102.0,100.0,106.0,,101.4,8.0
札幌,6,6,フィヤール,舟山瑠泉,,,,,,,,
札幌,6,7,ジークヴァルツァー,和田陽希,,,,,,,,
札幌,6,8,アイスヴィレッジ,横山典弘,114.0,106.0,97.0,97.0,96.0,,102.0,7.0
札幌,6,9,サマースピリット,浜中俊　,109.0,103.0,107.0,103.0,103.0,,105.0,3.0
札幌,6,10,テーオーシュターデ,橋木太希,88.0,163.0,119.0,55.0,,,106.25,2.0
札幌,6,11,ララヴァンダンジュ,小林美駒,90.0,102.0,94.0,96.0,,,95.5,11.0
札幌,6,12,エイシンカリス,川又賢治,87.0,95.0,98.0,103.0,95.0,,95.6,10.0
札幌,6,13,グリフォン,坂井瑠星,107.0,106.0,102.0,107.0,103.0,,105.0,3.0
札幌,6,14,ナムラエミー,丹内祐次,112.0,102.0,107.0,98.0,104.0,,104.6,5.0
札幌,6,15,キュイジニエール,横山武史,98.0,100.0,100.0,95.0,98.0,,98.2,9.0
札幌,6,16,ユキノエミリオ,松岡正海,152.0,102.0,108.0,101.0,104.0,,113.4,1.0
札幌,7,1,シエラメンテ,古川奈穂,67.0,96.0,94.0,91.0,92.0,,88.0,6.0
札幌,7,2,ラブミーナッソー,古川吉洋,102.0,100.0,94.0,105.0,101.0,,100.4,4.0
札幌,7,3,ディニトーソ,小林美駒,97.0,90.0,94.0,96.0,,,94.25,5.0
札幌,7,4,カップッチョ,黛弘人　,112.0,112.0,110.0,99.0,109.0,,108.4,2.0
札幌,7,5,ダオラダオラ,森田誠也,,,,,,,,
札幌,7,6,スイッチオン,本田正重,,,,,,,,
札幌,7,7,タミゼ,和田陽希,,,,,,,,
札幌,7,8,ミスターディジェイ,丹内祐次,112.0,108.0,100.0,98.0,104.0,,104.4,3.0
札幌,7,9,レディオンステージ,荻野琢真,98.0,103.0,104.0,130.0,112.0,,109.4,1.0
札幌,7,10,モダンフリンジ,橋木太希,90.0,80.0,119.0,55.0,,,86.0,7.0
札幌,7,11,イチトゼロノアイダ,舟山瑠泉,,,,,,,,
札幌,8,1,コンテナライン,ティータ,,,,,,,,
札幌,8,2,アルマグラース,古川吉洋,102.0,100.0,94.0,104.0,101.0,,100.2,6.0
札幌,8,3,レディゴディヴァ,バデル　,,,,,,,,
札幌,8,4,カンカール,松本大輝,157.0,97.0,103.0,93.0,106.0,,111.2,1.0
札幌,8,5,シンボリノエル,横山和生,103.0,102.0,103.0,104.0,106.0,,103.6,5.0
札幌,8,6,ミサビスケッツ,ゴンサル,,,,,,,,
札幌,8,7,スナークメモリー,松山弘平,131.0,96.0,102.0,99.0,98.0,,105.2,4.0
札幌,8,8,ネクストヒロイン,松岡正海,152.0,88.0,88.0,98.0,104.0,,106.0,3.0
札幌,8,9,セージグリーン,丹内祐次,112.0,108.0,100.0,107.0,104.0,,106.2,2.0
札幌,8,10,エンプレスフレーム,原田和真,70.0,157.0,95.0,83.0,90.0,,99.0,7.0
札幌,8,11,ウィンターサン,横山武史,98.0,93.0,92.0,97.0,98.0,,95.6,8.0
札幌,9,1,マイネルゼウス,丹内祐次,112.0,108.0,107.0,107.0,104.0,,107.6,4.0
札幌,9,2,プロフェータ,戸崎圭太,94.0,98.0,100.0,99.0,101.0,,98.4,9.0
札幌,9,3,ヴァイタルピース,松本大輝,157.0,97.0,92.0,93.0,106.0,,109.0,2.0
札幌,9,4,オラリオン,和田陽希,,,,,,,,
札幌,9,5,ドーギッド,北村友一,122.0,101.0,102.0,102.0,105.0,,106.4,5.0
札幌,9,6,コスモアバンサ,佐々木大,98.0,104.0,103.0,98.0,104.0,,101.4,8.0
札幌,9,7,マイバラード,松岡正海,152.0,88.0,108.0,98.0,104.0,,110.0,1.0
札幌,9,8,シンゼンカガ,武豊　　,97.0,98.0,95.0,97.0,98.0,,97.0,11.0
札幌,9,9,サングラデーション,坂井瑠星,107.0,106.0,102.0,101.0,103.0,,103.8,6.0
札幌,9,10,シュエットアムール,黛弘人　,112.0,112.0,102.0,108.0,109.0,,108.6,3.0
札幌,9,11,リアライズオーラム,横山武史,98.0,93.0,100.0,97.0,98.0,,97.2,10.0
札幌,9,12,コア,ティータ,,,,,,,,
札幌,9,13,メイショウビストロ,松山弘平,131.0,96.0,95.0,99.0,98.0,,103.8,6.0
札幌,10,1,スカンジナビア,トーレス,,,,,,,,
札幌,10,2,ラオラシオン,ルメール,93.0,104.0,98.0,99.0,96.0,,98.0,4.0
札幌,10,3,オコタンペ,バデル　,,,,,,,,
札幌,10,4,マフィン,ゴンサル,,,,,,,,
札幌,10,5,レッドセニョール,ティータ,,,,,,,,
札幌,10,6,チュウワクリスエス,戸崎圭太,94.0,98.0,96.0,99.0,101.0,,97.6,6.0
札幌,10,7,コスモオピニオン,ウィリア,,,,,,,,
札幌,10,8,ツインビスケッツ,武豊　　,97.0,98.0,100.0,97.0,98.0,,98.0,4.0
札幌,10,9,サイモンルモンド,北村友一,122.0,101.0,100.0,102.0,105.0,,106.0,1.0
札幌,10,10,ベルギューン,ハマーハ,,,,,,,,
札幌,10,11,グレイスオブゴッド,本田正重,,,,,,,,
札幌,10,12,カプラローラ,横山武史,98.0,93.0,92.0,97.0,98.0,,95.6,7.0
札幌,10,13,トゥピ,横山典弘,114.0,94.0,106.0,105.0,96.0,,103.0,3.0
札幌,10,14,エイブラムス,坂井瑠星,107.0,106.0,106.0,101.0,103.0,,104.6,2.0
札幌,11,1,ツインクルトーズ,古川吉洋,102.0,145.0,112.0,105.0,101.0,,113.0,2.0
札幌,11,2,エトヴプレ,丹内祐次,112.0,88.0,107.0,98.0,104.0,,101.8,8.0
札幌,11,3,レイピア,北村友一,122.0,90.0,102.0,100.0,105.0,,103.8,7.0
札幌,11,4,エーティーマクフィ,戸崎圭太,94.0,105.0,100.0,98.0,101.0,,99.6,9.0
札幌,11,5,パンジャタワー,松山弘平,131.0,103.0,95.0,99.0,98.0,,105.2,4.0
札幌,11,6,ペアポルックス,松若風馬,114.0,101.0,104.0,100.0,,,104.75,5.0
札幌,11,7,クファシル,バデル　,,,,,,,,
札幌,11,8,ゾンニッヒ,武豊　　,97.0,100.0,95.0,97.0,98.0,,97.4,11.0
札幌,11,9,モリノドリーム,ルメール,93.0,98.0,100.0,97.0,96.0,,96.8,12.0
札幌,11,10,ウインカーネリアン,三浦皇成,21.0,80.0,99.0,101.0,104.0,,81.0,14.0
札幌,11,11,プルパレイ,ティータ,,,,,,,,
札幌,11,12,フィオライア,坂井瑠星,107.0,104.0,102.0,107.0,103.0,,104.6,6.0
札幌,11,13,ジョーメッドヴィン,松岡正海,152.0,120.0,108.0,101.0,104.0,,117.0,1.0
札幌,11,14,カルロヴェローチェ,佐々木大,98.0,71.0,103.0,106.0,104.0,,96.4,13.0
札幌,11,15,ナムラクララ,浜中俊　,109.0,112.0,107.0,103.0,103.0,,106.8,3.0
札幌,11,16,カルプスペルシュ,横山武史,98.0,106.0,100.0,95.0,98.0,,99.4,10.0
札幌,12,1,ピンクジン,ウィリア,,,,,,,,
札幌,12,2,ロードマンハイム,ゴンサル,,,,,,,,
札幌,12,3,ルクスドヌーヴ,ハマーハ,,,,,,,,
札幌,12,4,グランドゴールド,バデル　,,,,,,,,
札幌,12,5,ハイラント,坂井瑠星,107.0,106.0,102.0,101.0,103.0,,103.8,2.0
札幌,12,6,ミヤビブレイブ,戸崎圭太,94.0,98.0,100.0,99.0,101.0,,98.4,4.0
札幌,12,7,リッチブラック,横山武史,98.0,93.0,100.0,97.0,98.0,,97.2,6.0
札幌,12,8,マイネルオーシャン,ティータ,,,,,,,,
札幌,12,9,サクソンジェンヌ,横山典弘,114.0,94.0,97.0,105.0,96.0,,101.2,3.0
札幌,12,10,ジェットマグナム,本田正重,,,,,,,,
札幌,12,11,トーアライデン,ルメール,93.0,104.0,100.0,99.0,96.0,,98.4,4.0
札幌,12,12,ウィルサヴァイブ,北村友一,122.0,101.0,102.0,102.0,105.0,,106.4,1.0
札幌,12,13,キングメーカー,トーレス,,,,,,,,
札幌,12,14,ウインアクトゥール,武豊　　,97.0,98.0,95.0,97.0,98.0,,97.0,7.0
新潟,1,1,ガリレア,杉原誠人,101.0,95.0,107.0,98.0,98.0,,99.8,2.0
新潟,1,2,ラプランセス,斎藤新　,91.0,102.0,98.0,103.0,96.0,,98.0,4.0
新潟,1,3,イントゥゴールデン,柴田大知,96.0,91.0,92.0,84.0,88.0,,90.2,6.0
新潟,1,4,クラウンプレゼンタ,内田博幸,76.0,97.0,90.0,99.0,94.0,,91.2,5.0
新潟,1,5,ムーングレイル,荻野極　,104.0,97.0,97.0,109.0,105.0,,102.4,1.0
新潟,1,6,マルターズドン,木幡巧也,97.0,103.0,97.0,100.0,101.0,,99.6,3.0
新潟,1,7,スターオブブライト,小林脩斗,94.0,84.0,72.0,97.0,95.0,,88.4,7.0
新潟,2,1,ナックエルドラド,吉田豊　,90.0,95.0,101.0,97.0,101.0,,96.8,8.0
新潟,2,2,メイショウコウベ,大野拓弥,120.0,97.0,95.0,102.0,98.0,,102.4,2.0
新潟,2,3,ナックシュバリエ,木幡初也,101.0,93.0,93.0,90.0,86.0,,92.6,11.0
