場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
札幌,1,1,レッドファイブ,ダノンスマッシュ,,,,,,,,,,
札幌,1,2,ブラックジャック,ダノンスマッシュ,,,,,,,,,,
札幌,1,3,ハグレジョー,エスポワールシチー,96.0,115.0,108.0,126.0,106.0,110.0,,,110.167,2.0
札幌,1,4,イッスンボウシ,ダノンプレミアム,,,,,,,,,,
札幌,1,5,リフレックス,モーニン,64.0,90.0,88.0,98.0,89.0,92.0,,,86.833,10.0
札幌,1,6,ウルヴァリン,ベストウォーリア,126.0,88.0,99.0,92.0,71.0,97.0,92.0,,95.0,7.0
札幌,1,7,マーゴットサンズ,ミスチヴィアスアレックス,,,,,,,,,,
札幌,1,8,リピース,サンダースノー,93.0,112.0,116.0,97.0,106.0,114.0,74.0,,101.714,3.0
札幌,1,9,ティブロン,リオンディーズ,92.0,94.0,99.0,109.0,100.0,102.0,103.0,,99.857,4.0
札幌,1,10,ロードベルファスト,ロジャーバローズ,90.0,89.0,96.0,93.0,89.0,81.0,91.0,,89.857,8.0
札幌,1,11,ユニゾン,サンダースノー,93.0,112.0,116.0,97.0,106.0,114.0,159.0,,113.857,1.0
札幌,1,12,グレーヌドジョワ,ロードカナロア,101.0,98.0,100.0,88.0,93.0,96.0,112.0,,98.286,5.0
札幌,1,13,ミヤエスケープ,モーリス,96.0,100.0,93.0,98.0,99.0,98.0,,,97.333,6.0
札幌,1,14,エクストラプッシュ,ナダル,21.0,95.0,112.0,97.0,108.0,101.0,,,89.0,9.0
札幌,2,1,オッハッピー,ハッピースプリント,,,,,,,,,,
札幌,2,2,ウインロズパレード,ニューイヤーズデイ,83.0,98.0,105.0,103.0,101.0,97.0,88.0,,96.429,5.0
札幌,2,3,シャルムグリーン,スワーヴリチャード,90.0,101.0,97.0,98.0,87.0,92.0,102.0,,95.286,6.0
