場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1800,重,1,マイホームヒロイン,3歳,内田博幸,深山雅史,差し,,,中距離,右回り,ダ道悪,Lv3 ,406.0,休明初戦,
中山,1,未勝利,ダート,1800,重,2,セイウンオウカ,3歳,横山琉人,相沢郁,先行,0.0,,中距離,右回り,ダ道悪,Lv3 ,484.0,,距離延長
中山,1,未勝利,ダート,1800,重,3,ウインティターニア,3歳,丹内祐次,高木登,追込,,,中距離,右回り,ダ道悪,Lv3 ,460.0,休明初戦,距離延長
中山,1,未勝利,ダート,1800,重,4,ミヤファイター,3歳,菊沢一樹,小手川準,差し,0.0,,中距離,右回り,ダ道悪,Lv3 ,492.0,,距離延長
中山,1,未勝利,ダート,1800,重,5,ヴィオラダンサー,3歳,佐々木大,森一誠,,,,中距離,右回り,ダ道悪,Lv3 ,432.0,,
中山,1,未勝利,ダート,1800,重,6,コンティオ,3歳,横山和生,和田勇介,先行,100.0,100.0,中距離,右回り,ダ道悪,Lv3 ,456.0,,距離延長
中山,1,未勝利,ダート,1800,重,7,クールカグラ,3歳,三浦皇成,和田勇介,,,,中距離,右回り,ダ道悪,Lv3 ,470.0,,
中山,1,未勝利,ダート,1800,重,8,リックメイン,3歳,小林美駒,武井亮,先行,,100.0,中距離,右回り,ダ道悪,Lv3 ,450.0,休明3走,距離延長
中山,1,未勝利,ダート,1800,重,9,アックラマーレ,3歳,原田和真,小野次郎,追込,,,中距離,右回り,ダ道悪,Lv3 ,470.0,休明初戦,
中山,1,未勝利,ダート,1800,重,10,ウィンターサン,3歳,津村明秀,加藤征弘,逃げ,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,450.0,,
中山,1,未勝利,ダート,1800,重,11,デュエルシャポー,3歳,木幡巧也,牧光二,追込,,,中距離,右回り,ダ道悪,Lv3 ,420.0,,距離延長
中山,1,未勝利,ダート,1800,重,12,サーフプラチナム,3歳,北村宏司,古賀慎明,追込,33.33333333333333,33.33333333333333,中距離,右回り,ダ道悪,Lv3 ,458.0,,
中山,1,未勝利,ダート,1800,重,13,スターライトナイト,3歳,原優介,伊藤大士,差し,,,中距離,右回り,ダ道悪,Lv3 ,428.0,,距離短縮
中山,1,未勝利,ダート,1800,重,14,ノーブルノワール,3歳,幸英明,林徹,追込,,,中距離,右回り,ダ道悪,Lv3 ,438.0,休明初戦,距離短縮
中山,1,未勝利,ダート,1800,重,15,ジュテパッセ,3歳,長浜鴻緒,林徹,,,,中距離,右回り,ダ道悪,Lv3 ,472.0,,
中山,1,未勝利,ダート,1800,重,16,ピラニアキッス,3歳,舟山瑠泉,嘉藤貴行,追込,,,中距離,右回り,ダ道悪,Lv3 ,450.0,,距離延長
中山,2,未勝利,ダート,1200,重,1,ベストヒューマ,3歳,石田拓郎,佐藤吉勝,追込,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,428.0,,
中山,2,未勝利,ダート,1200,重,2,ムーンナイト,3歳,遠藤汰月,黒岩陽一,先行,,,短距離,右回り,ダ道悪,Lv3 ,546.0,休明2走,
中山,2,未勝利,ダート,1200,重,3,シャトーペリオット,3歳,長浜鴻緒,根本康広,追込,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,514.0,休明3走,距離短縮
中山,2,未勝利,ダート,1200,重,4,リラキトス,3歳,菅原明良,高木登,先行,,,短距離,右回り,ダ道悪,Lv3 ,508.0,,距離短縮
中山,2,未勝利,ダート,1200,重,5,リワードインペリオ,3歳,横山典弘,村田一誠,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,494.0,,
中山,2,未勝利,ダート,1200,重,6,ユウオウマイシン,3歳,佐々木大,松永康利,追込,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,468.0,休明2走,距離短縮
中山,2,未勝利,ダート,1200,重,7,ナギサノバルコニー,3歳,嶋田純次,伊坂重信,,,,短距離,右回り,ダ道悪,Lv3 ,432.0,,
中山,2,未勝利,ダート,1200,重,8,タイキクリエイター,3歳,石橋脩,矢野英一,差し,0.0,,短距離,右回り,ダ道悪,Lv3 ,588.0,,距離短縮
中山,2,未勝利,ダート,1200,重,9,マジョッコピロコ,3歳,石神深道,柄崎将寿,差し,,,短距離,右回り,ダ道悪,Lv3 ,466.0,,距離短縮
中山,2,未勝利,ダート,1200,重,10,リケアエスプレッソ,3歳,秋山稔樹,小野次郎,差し,,,短距離,右回り,ダ道悪,Lv3 ,450.0,,
中山,2,未勝利,ダート,1200,重,11,ナックオリオン,3歳,佐藤翔馬,杉浦宏昭,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,470.0,,距離延長
中山,2,未勝利,ダート,1200,重,12,クリーンリーチ,3歳,横山武史,千葉直人,先行,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,490.0,,距離短縮
中山,2,未勝利,ダート,1200,重,13,エイシンカルナボン,3歳,津村明秀,田中剛,先行,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,470.0,休明初戦,
中山,2,未勝利,ダート,1200,重,14,ナインオブレター,3歳,吉田豊,高橋文雅,先行,66.66666666666666,66.66666666666666,短距離,右回り,ダ道悪,Lv3 ,452.0,,距離短縮
中山,2,未勝利,ダート,1200,重,15,ダブルスチール,3歳,小林美駒,石栗龍彦,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,396.0,休明2走,距離短縮
中山,2,未勝利,ダート,1200,重,16,ヌーヴォルミエール,3歳,菊沢一樹,勢司和浩,追込,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,474.0,,
中山,3,未勝利,ダート,1800,重,1,レッドイストワール,3歳,舟山瑠泉,田中博康,先行,,,中距離,右回り,ダ道悪,Lv3 ,456.0,,
中山,3,未勝利,ダート,1800,重,2,ジェイルブレイク,3歳,長浜鴻緒,蛯名利弘,差し,,0.0,中距離,右回り,ダ道悪,Lv3 ,452.0,休明初戦,
中山,3,未勝利,ダート,1800,重,3,サトミノエンジェル,3歳,横山典弘,鈴木伸尋,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,512.0,,距離延長
中山,3,未勝利,ダート,1800,重,4,スカーレットクロス,3歳,小林凌大,土田稔,差し,,0.0,中距離,右回り,ダ道悪,Lv3 ,452.0,休明2走,距離延長
中山,3,未勝利,ダート,1800,重,5,マインドミー,3歳,木幡育也,高橋文雅,追込,,,中距離,右回り,ダ道悪,Lv3 ,452.0,,距離短縮
中山,3,未勝利,ダート,1800,重,6,キタノマーシャル,3歳,小林脩斗,奥平雅士,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,506.0,,距離短縮
中山,3,未勝利,ダート,1800,重,7,フロウオブタイム,3歳,木幡巧也,大和田成,先行,,,中距離,右回り,ダ道悪,Lv3 ,444.0,休明2走,距離短縮
中山,3,未勝利,ダート,1800,重,8,ゴールドパートナー,3歳,横山和生,嘉藤貴行,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,478.0,,
中山,3,未勝利,ダート,1800,重,9,ロードフロリゼル,3歳,丹内祐次,稲垣幸雄,先行,,,中距離,右回り,ダ道悪,Lv3 ,464.0,休明初戦,距離短縮
中山,3,未勝利,ダート,1800,重,10,ギンガエクスプレス,3歳,上里直汰,加藤士津,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,534.0,,距離短縮
中山,3,未勝利,ダート,1800,重,11,サーフギャラクシー,3歳,内田博幸,松山将樹,追込,,,中距離,右回り,ダ道悪,Lv3 ,470.0,,距離延長
中山,3,未勝利,ダート,1800,重,12,グラスグリード,3歳,佐々木大,小笠倫弘,追込,,,中距離,右回り,ダ道悪,Lv3 ,450.0,,距離延長
中山,3,未勝利,ダート,1800,重,13,タイキインドラ,3歳,北村宏司,大竹正博,追込,,,中距離,右回り,ダ道悪,Lv3 ,504.0,,距離延長
中山,3,未勝利,ダート,1800,重,14,エドワードバローズ,3歳,ルメール,奥村武,追込,,,中距離,右回り,ダ道悪,Lv3 ,480.0,,距離延長
中山,3,未勝利,ダート,1800,重,15,ウーバーストロング,3歳,大野拓弥,杉浦宏昭,差し,,,中距離,右回り,ダ道悪,Lv3 ,468.0,,距離延長
中山,3,未勝利,ダート,1800,重,16,ドラゴンラック,3歳,横山琉人,相沢郁,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,450.0,休明3走,距離短縮
中山,4,未勝利,障害,2880,稍重,1,グランシャーク,5歳以上,五十嵐雄,田島俊明,差し,,,長距離,右回り,ダ道悪,,514.0,休明2走,距離延長
中山,4,未勝利,障害,2880,稍重,2,アルカンサス,5歳以上,土田真翔,土田稔,追込,0.0,,長距離,右回り,ダ道悪,,484.0,,距離延長
中山,4,未勝利,障害,2880,稍重,3,ソルドラード,5歳以上,上野翔,蛯名正義,先行,100.0,,長距離,右回り,ダ道悪,,514.0,休明2走,
中山,4,未勝利,障害,2880,稍重,4,ミラクルジニア,4歳,伴啓太,粕谷昌央,先行,100.0,,長距離,右回り,ダ道悪,,468.0,,
中山,4,未勝利,障害,2880,稍重,5,スズカマジェスタ,5歳以上,高田潤,須貝尚介,差し,,,長距離,右回り,ダ道悪,,438.0,休明初戦,距離延長
中山,4,未勝利,障害,2880,稍重,6,テンメジャーガール,5歳以上,小野寺祐,高柳大輔,先行,33.33333333333333,,長距離,右回り,ダ道悪,,502.0,,
中山,4,未勝利,障害,2880,稍重,7,カルマンフィルター,4歳,草野太郎,戸田博文,追込,100.0,,長距離,右回り,ダ道悪,,498.0,,
中山,4,未勝利,障害,2880,稍重,8,アンクラウデッド,5歳以上,石神深一,古賀慎明,差し,,,長距離,右回り,ダ道悪,,520.0,休明初戦,距離延長
中山,4,未勝利,障害,2880,稍重,9,グレイトゲイナー,5歳以上,森一馬,森秀行,差し,,,長距離,右回り,ダ道悪,,480.0,休明3走,距離延長
中山,4,未勝利,障害,2880,稍重,10,ゴーツウキリシマ,5歳以上,黒岩悠,牧田和弥,追込,0.0,,長距離,右回り,ダ道悪,,462.0,休明2走,距離延長
中山,4,未勝利,障害,2880,稍重,11,ウイングランブルー,5歳以上,大江原圭,深山雅史,逃げ,,,長距離,右回り,ダ道悪,,472.0,休明初戦,距離延長
中山,5,未勝利,芝,1600,稍重,1,ルナルーチェット,3歳,菅原明良,国枝栄,先行,0.0,0.0,短距離,右回り,芝道悪,Lv2 ,424.0,休明2走,距離短縮
中山,5,未勝利,芝,1600,稍重,2,フォルトレス,3歳,幸英明,国枝栄,,,,短距離,右回り,芝道悪,Lv2 ,446.0,休明初戦,
中山,5,未勝利,芝,1600,稍重,3,ニットウアクシア,3歳,吉田豊,稲垣幸雄,,,,短距離,右回り,芝道悪,Lv2 ,452.0,,
中山,5,未勝利,芝,1600,稍重,4,ヌンルチル,3歳,木幡巧也,勢司和浩,差し,,0.0,短距離,右回り,芝道悪,Lv2 ,460.0,,
中山,5,未勝利,芝,1600,稍重,5,ミズイロホルトゥス,3歳,戸崎圭太,金成貴史,先行,50.0,50.0,短距離,右回り,芝道悪,Lv2 ,466.0,休明2走,距離延長
中山,5,未勝利,芝,1600,稍重,6,タイアステソーロ,3歳,丹内祐次,畠山吉宏,,,,短距離,右回り,芝道悪,Lv2 ,430.0,,
中山,5,未勝利,芝,1600,稍重,7,キョウエイセレッソ,3歳,石田拓郎,中川公成,,,,短距離,右回り,芝道悪,Lv2 ,444.0,,
中山,5,未勝利,芝,1600,稍重,8,エスプラネード,3歳,北村宏司,池上昌和,,,,短距離,右回り,芝道悪,Lv2 ,428.0,,
中山,5,未勝利,芝,1600,稍重,9,シャドウヴァイス,3歳,津村明秀,手塚貴久,,,,短距離,右回り,芝道悪,Lv2 ,420.0,,
中山,5,未勝利,芝,1600,稍重,10,ロンディネ,3歳,武藤雅,菊沢隆徳,差し,,100.0,短距離,右回り,芝道悪,Lv2 ,426.0,,
中山,5,未勝利,芝,1600,稍重,11,ココロビジン,3歳,丸田恭介,武市康男,,,,短距離,右回り,芝道悪,Lv2 ,420.0,,
中山,5,未勝利,芝,1600,稍重,12,フォレストオール,3歳,田辺裕信,栗田徹,逃げ,,,短距離,右回り,芝道悪,Lv2 ,444.0,休明初戦,距離延長
中山,5,未勝利,芝,1600,稍重,13,アスコットレイ,3歳,長浜鴻緒,粕谷昌央,,,,短距離,右回り,芝道悪,Lv2 ,430.0,,
中山,5,未勝利,芝,1600,稍重,14,ヨルハ,3歳,ルメール,小島茂之,,,,短距離,右回り,芝道悪,Lv2 ,426.0,,
中山,5,未勝利,芝,1600,稍重,15,ホシニネガイヲ,3歳,三浦皇成,竹内正洋,追込,,0.0,短距離,右回り,芝道悪,Lv2 ,438.0,休明2走,
中山,5,未勝利,芝,1600,稍重,16,ノーブルリリー,3歳,石川裕紀,矢嶋大樹,差し,,0.0,短距離,右回り,芝道悪,Lv2 ,386.0,,
中山,6,自己条件,ダート,1200,重,1,エルオレンス,3歳,横山典弘,深山雅史,先行,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,480.0,,
中山,6,自己条件,ダート,1200,重,2,タッカージーティー,3歳,横山武史,鈴木伸尋,先行,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,478.0,休明初戦,
中山,6,自己条件,ダート,1200,重,3,シャインミラカナ,3歳,北村宏司,北出成人,先行,,33.33333333333333,短距離,右回り,ダ道悪,Lv2 ,478.0,休明初戦,
中山,6,自己条件,ダート,1200,重,4,クラウンウルル,3歳,原優介,菊川正達,差し,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,480.0,休明2走,
中山,6,自己条件,ダート,1200,重,5,エンドレスサマー,3歳,江田照男,上原佑紀,先行,,,短距離,右回り,ダ道悪,Lv2 ,516.0,休明2走,距離短縮
中山,6,自己条件,ダート,1200,重,6,アースミューズ,3歳,長浜鴻緒,粕谷昌央,先行,,50.0,短距離,右回り,ダ道悪,Lv2 ,448.0,休明2走,
中山,6,自己条件,ダート,1200,重,7,ピッツァナポリ,3歳,大野拓弥,新開幸一,逃げ,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,454.0,,
中山,6,自己条件,ダート,1200,重,8,ヤマメキング,3歳,戸崎圭太,田島俊明,先行,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,496.0,,
中山,6,自己条件,ダート,1200,重,9,ゲクウ,3歳,菅原隆一,小手川準,,,,短距離,右回り,ダ道悪,Lv2 ,506.0,休明初戦,距離延長
中山,6,自己条件,ダート,1200,重,10,サヨノジャンボリー,3歳,内田博幸,小笠倫弘,差し,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,482.0,,距離短縮
中山,6,自己条件,ダート,1200,重,11,マサノユニコーン,3歳,横山琉人,小島茂之,先行,,,短距離,右回り,ダ道悪,Lv2 ,460.0,,距離短縮
中山,6,自己条件,ダート,1200,重,12,ミツカネリブラ,3歳,菊沢一樹,清水英克,先行,100.0,,短距離,右回り,ダ道悪,Lv2 ,472.0,休明2走,距離短縮
中山,6,自己条件,ダート,1200,重,13,ダイシンリンク,3歳,菅原明良,森秀行,先行,,,短距離,右回り,ダ道悪,Lv2 ,460.0,,距離短縮
中山,6,自己条件,ダート,1200,重,14,ブラックトルネード,3歳,小林美駒,佐藤吉勝,逃げ,0.0,20.0,短距離,右回り,ダ道悪,Lv2 ,464.0,休明初戦,
中山,6,自己条件,ダート,1200,重,15,ペイシャマリーン,3歳,丹内祐次,菊川正達,逃げ,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,458.0,,
中山,6,自己条件,ダート,1200,重,16,アレスグート,3歳,木幡巧也,牧光二,逃げ,0.0,,短距離,右回り,ダ道悪,Lv2 ,458.0,,距離短縮
