rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
1,2,2.2,3.0,2,6,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,2,2.2,3.0,2,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,2,2.2,3.0,3,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,2,2.2,3.0,3,8,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,3,2.2,3.0,2,6,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,3,2.2,3.0,2,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,3,2.2,3.0,3,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,3,2.2,3.0,3,8,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,4,2.2,3.0,2,6,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,4,2.2,3.0,2,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,4,2.2,3.0,3,7,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,4,2.2,3.0,3,8,0,3,173.33333333333334,0.3333333333333333,229.99999999999997,1.0,0,,0,0,,0
1,2,2.2,3.0,2,6,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,2,2.2,3.0,2,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,2,2.2,3.0,3,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,2,2.2,3.0,3,8,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,3,2.2,3.0,2,6,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,3,2.2,3.0,2,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,3,2.2,3.0,3,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,3,2.2,3.0,3,8,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,4,2.2,3.0,2,6,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,4,2.2,3.0,2,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,4,2.2,3.0,3,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
1,4,2.2,3.0,3,8,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
4,2,2.2,3.0,2,6,0,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
4,2,2.2,3.0,2,6,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
4,2,2.2,3.0,2,7,0,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
4,2,2.2,3.0,2,7,1,1,0.0,0.0,220.00000000000003,1.0,0,,0,0,,0
