場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
中山,1,1,ベアサナエチャン,レイデオロ,-288.0,44.0,-1614.0,1242.0,251.0,-3153.0,,,-3518.0,11.0
中山,1,2,トンガリボウシ,シュヴァルグラン,-1470.0,-2386.0,-221.0,-663.0,-955.0,-1119.0,1534.0,,-5280.0,12.0
中山,1,3,ルサフィール,シャンハイボビー,-752.0,722.0,-710.0,151.0,145.0,873.0,2106.0,,2535.0,6.0
中山,1,4,カゼノハゴロモ,ビッグアーサー,79.0,-2689.0,63.0,-223.0,-2015.0,-1572.0,-1302.0,,-7659.0,13.0
中山,1,5,ルーチェフィオーレ,ポエティックフレア,,,,,,,,,,
中山,1,6,ミセスジョーンズ,ヴァンセンヌ,939.0,126.0,-127.0,-174.0,-608.0,-229.0,,,-73.0,8.0
中山,1,7,ミスエベレスト,ミスチヴィアスアレックス,,,,,,,,,,
中山,1,8,タヤスロレンヌ,タワーオブロンドン,-642.0,494.0,796.0,338.0,197.0,-157.0,397.0,,1423.0,7.0
中山,1,9,ジャメビュ,ダノンレジェンド,719.0,229.0,-709.0,560.0,2562.0,3179.0,435.0,,6975.0,2.0
中山,1,10,サクライズ,イスラボニータ,668.0,693.0,4154.0,944.0,3209.0,620.0,2234.0,,12522.0,1.0
中山,1,11,コズミックボックス,ブリックスアンドモルタル,351.0,-621.0,1704.0,-193.0,66.0,-1051.0,-1593.0,,-1337.0,9.0
中山,1,12,リケアラザニア,ミッキーアイル,6.0,682.0,1956.0,460.0,830.0,1117.0,1761.0,,6812.0,3.0
中山,1,13,クインズツバキ,カリフォルニアクローム,496.0,1874.0,-569.0,-520.0,1311.0,1358.0,-568.0,,3382.0,5.0
中山,1,14,ハングローズ,ドレフォン,-3.0,2712.0,-1151.0,-187.0,2133.0,2542.0,,,6046.0,4.0
中山,1,15,レヴェランジェ,サングレーザー,,,,,,,,,,
