場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
中山,1,1,ベアサナエチャン,佐藤翔馬,1830.0,648.0,-351.0,802.0,465.0,,3394.0,4.0
中山,1,2,トンガリボウシ,水沼元輝,-651.0,-789.0,-1524.0,-867.0,-847.0,,-4678.0,10.0
中山,1,3,ルサフィール,原優介　,-315.0,-4128.0,-2557.0,-1704.0,-1489.0,,-10193.0,13.0
中山,1,4,カゼノハゴロモ,野中悠太,346.0,473.0,-242.0,551.0,-583.0,,545.0,7.0
中山,1,5,ルーチェフィオーレ,横山和生,1309.0,-784.0,531.0,109.0,2261.0,,3426.0,3.0
中山,1,6,ミセスジョーンズ,石神深道,-377.0,-455.0,-2027.0,-2057.0,-2181.0,,-7097.0,11.0
中山,1,7,ミスエベレスト,上里直汰,,,,,,,,
中山,1,8,タヤスロレンヌ,石田拓郎,-3555.0,980.0,-2879.0,-2815.0,-1195.0,,-9464.0,12.0
中山,1,9,ジャメビュ,杉原誠人,298.0,-721.0,1564.0,-377.0,564.0,,1328.0,6.0
中山,1,10,サクライズ,木幡育也,-669.0,826.0,977.0,518.0,190.0,,1842.0,5.0
中山,1,11,コズミックボックス,モレイラ,,,,,,,,
中山,1,12,リケアラザニア,小林美駒,-341.0,-1267.0,195.0,-935.0,-896.0,,-3244.0,9.0
中山,1,13,クインズツバキ,木幡巧也,-820.0,715.0,-867.0,-122.0,-432.0,,-1526.0,8.0
中山,1,14,ハングローズ,佐々木大,268.0,537.0,1146.0,2205.0,2169.0,,6325.0,1.0
中山,1,15,レヴェランジェ,津村明秀,361.0,707.0,1316.0,1782.0,-302.0,,3864.0,2.0
中山,1,16,フィオーレグリーン,遠藤汰月,,,,,,,,
中山,2,1,メイポール,嶋田純次,-414.0,-40.0,-372.0,61.0,-301.0,11.0,-1055.0,7.0
中山,2,2,カンタベリービーム,水沼元輝,-651.0,-789.0,-315.0,-867.0,-847.0,769.0,-2700.0,8.0
中山,2,3,マーシャルアン,上里直汰,,,,,,,,
中山,2,4,イーリスアスター,小林美駒,-341.0,-1267.0,-1549.0,-935.0,-896.0,372.0,-4616.0,9.0
中山,2,5,トモエナゲ,石田拓郎,-3555.0,980.0,-675.0,-2815.0,-1195.0,-329.0,-7589.0,13.0
中山,2,6,エクスプレスナイト,菊沢一樹,175.0,3343.0,2401.0,3695.0,2520.0,1230.0,13364.0,1.0
中山,2,7,コンフィアンサ,佐々木大,268.0,537.0,468.0,2205.0,2169.0,838.0,6485.0,2.0
中山,2,8,ファンシーフリル,今村聖奈,117.0,-1511.0,-1053.0,-913.0,-2239.0,-728.0,-6327.0,11.0
中山,2,9,ホーリーデイ,石橋脩　,-436.0,-366.0,1848.0,1273.0,-1116.0,922.0,2125.0,4.0
中山,2,10,セントリアン,野中悠太,346.0,473.0,-243.0,551.0,-583.0,-680.0,-136.0,5.0
中山,2,11,ニシノランペイジ,内田博幸,-617.0,-558.0,-1314.0,-146.0,-1358.0,-1011.0,-5004.0,10.0
中山,2,12,ケイベエ,木幡巧也,-820.0,715.0,298.0,-122.0,-432.0,-621.0,-982.0,6.0
中山,2,13,リバテイー,横山武史,-311.0,69.0,-2911.0,-1784.0,-845.0,-796.0,-6578.0,12.0
中山,2,14,ハナムラサキ,柴田大知,-694.0,-1585.0,-2164.0,-2932.0,-1268.0,-34.0,-8677.0,15.0
中山,2,15,ラウンドヒル,原優介　,-315.0,-4128.0,644.0,-1704.0,-1489.0,-1617.0,-8609.0,14.0
中山,2,16,カイトヴァイター,丸田恭介,2211.0,-353.0,1727.0,706.0,1212.0,-166.0,5337.0,3.0
中山,3,1,スチールナイト,丹内祐次,-784.0,665.0,3364.0,3048.0,3082.0,,9375.0,1.0
中山,3,2,リアライズリバティ,津村明秀,361.0,707.0,1316.0,-787.0,-302.0,,1295.0,4.0
中山,3,3,パントルナイーフ,ルメール,-585.0,-874.0,-170.0,-313.0,-914.0,,-2856.0,7.0
中山,3,4,ラストスマイル,杉原誠人,298.0,-721.0,1564.0,548.0,564.0,,2253.0,2.0
中山,3,5,マイネルゼーロス,石川裕紀,1580.0,-560.0,-196.0,88.0,274.0,,1186.0,5.0
中山,3,6,タイセイアストロ,モレイラ,,,,,,,,
中山,3,7,ラシッド,佐藤翔馬,1830.0,648.0,-351.0,-2039.0,465.0,,553.0,6.0
中山,3,8,エイシンイクサボシ,木幡育也,-669.0,826.0,977.0,175.0,190.0,,1499.0,3.0
中山,3,9,リケアリングイネ,吉田豊　,-478.0,-812.0,-1263.0,-422.0,-1272.0,,-4247.0,8.0
中山,3,10,カシノスパーク,石神深道,-377.0,-455.0,-2027.0,-3918.0,-2181.0,,-8958.0,9.0
