場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
札幌,1,未勝利,ダート,1700,稍重,1,アズライトアスール,3歳,河原田菜,鈴木孝志,,,,中距離,右回り,ダ道悪,Lv2 ,ミッキーアイル,休明3走,,14,E,13.2,13.0,13.2,5.0,37.6,7.0,39.1,,B,C,C,C,C
札幌,1,未勝利,ダート,1700,稍重,2,ロードステラート,3歳,横山和生,武英智,,,,中距離,右回り,ダ道悪,Lv2 ,キタサンブラック,休明初戦,距離短縮,8,D,12.4,4.0,13.2,5.0,36.6,4.0,39.7,,C,C,C,C,C
札幌,1,未勝利,ダート,1700,稍重,3,アスコットダンス,3歳,古川奈穂,高橋康之,,,,中距離,右回り,ダ道悪,Lv2 ,モズアスコット,,距離短縮,12,D,12.3,3.0,12.4,2.0,,,,,B,C,B,C,C
札幌,1,未勝利,ダート,1700,稍重,4,ショウナンタヅナ,3歳,池添謙一,武市康男,,,,中距離,右回り,ダ道悪,Lv2 ,ドレフォン,,,6,C,12.9,10.0,13.4,8.0,37.2,6.0,37.7,4.0,C,B,C,C,C
札幌,1,未勝利,ダート,1700,稍重,5,フロムザムーン,3歳,石川倭,畑端省吾,,,,中距離,右回り,ダ道悪,Lv2 ,ルヴァンスレーヴ,,,10,D,13.0,12.0,14.1,11.0,37.9,,37.4,2.0,B,C,C,C,B
札幌,1,未勝利,ダート,1700,稍重,6,ワンダーアスク,3歳,川又賢治,笹田和秀,,,,中距離,右回り,ダ道悪,Lv2 ,オルフェーヴル,,,5,C,12.6,6.0,13.1,3.0,35.6,2.0,36.9,1.0,D,D,D,C,B
札幌,1,未勝利,ダート,1700,稍重,7,ダリアフレイバー,3歳,鮫島克駿,河嶋宏樹,,,,中距離,右回り,ダ道悪,Lv2 ,ルヴァンスレーヴ,休明初戦,,11,D,13.3,14.0,,,38.0,,38.2,,,C,C,D,
札幌,1,未勝利,ダート,1700,稍重,8,アイムスティルミー,3歳,古川吉洋,奥平雅士,,,,中距離,右回り,ダ道悪,Lv2 ,ダノンバラード,休明初戦,距離短縮,13,E,12.9,10.0,14.3,12.0,38.1,,37.6,3.0,D,C,C,B,D
札幌,1,未勝利,ダート,1700,稍重,9,ゴールデンダガー,3歳,横山琉人,中舘英二,,,,中距離,右回り,ダ道悪,Lv2 ,フィエールマン,,,1,B,12.2,1.0,,,38.7,,38.3,,B,C,C,C,D
札幌,1,未勝利,ダート,1700,稍重,10,クールフィデル,3歳,落合玄太,和田勇介,,,,中距離,右回り,ダ道悪,Lv2 ,サートゥルナーリア,休明3走,距離短縮,9,D,12.4,4.0,13.8,10.0,,,,,B,C,B,D,C
札幌,1,未勝利,ダート,1700,稍重,11,メイショウタイザン,3歳,小沢大仁,高橋義忠,,,,中距離,右回り,ダ道悪,Lv2 ,ミッキーアイル,,,7,D,12.6,6.0,13.2,5.0,36.2,3.0,37.7,4.0,B,D,C,C,C
札幌,1,未勝利,ダート,1700,稍重,12,サンオブザサン,3歳,斎藤新,高橋一哉,,,,中距離,右回り,ダ道悪,Lv2 ,タニノフランケル,,,2,B,12.8,8.0,13.1,3.0,37.0,5.0,38.0,7.0,C,C,C,C,C
札幌,1,未勝利,ダート,1700,稍重,13,ベルアズーロ,3歳,小林美駒,西村真幸,,,,中距離,右回り,ダ道悪,Lv2 ,フィレンツェファイア,,距離短縮,3,C,12.8,8.0,13.4,8.0,34.9,1.0,37.8,6.0,B,C,C,C,C
札幌,1,未勝利,ダート,1700,稍重,14,アーデルブリックス,3歳,北村友一,坂口智康,,,,中距離,右回り,ダ道悪,Lv2 ,ブリックスアンドモルタル,休明3走,距離短縮,4,C,12.2,1.0,12.3,1.0,,,,,B,D,C,B,D
札幌,2,未勝利,芝,1500,稍重,1,セールデュクール,2歳,和田陽希,深山雅史,,,,短距離,右回り,芝道悪,Lv2 ,ベンバトル,,,12,E,13.0,5.0,,,37.5,,38.4,,D,D,,,
札幌,2,未勝利,芝,1500,稍重,2,ロゼハイスクール,2歳,古川奈穂,小崎憲,,,,短距離,右回り,芝道悪,Lv2 ,ミスチヴィアスアレックス,,距離延長,10,E,13.1,8.0,13.1,6.0,37.7,,38.5,,B,C,,,
